source,siteid,Ecoregion
BLM,CTG-SS-1007,NorthernRockies
BLM,CTG-SS-1008,NorthernRockies
BLM,CTG-SS-1011,NorthernRockies
BLM,CTG-SS-1012,NorthernRockies
BLM,CTG-SS-1013,NorthernRockies
BLM,CTG-SS-1014,NorthernRockies
BLM,CTO-LS-1061,NorthernRockies
BLM,CTO-LS-1065,NorthernRockies
BLM,CTO-LS-1068,NorthernRockies
BLM,CTO-LS-1070,NorthernRockies
BLM,CTO-LS-1072,NorthernRockies
BLM,CTO-RV-1069,NorthernRockies
BLM,CTO-RV-1069,NorthernRockies
BLM,CTO-SS-1058,NorthernRockies
BLM,CTO-SS-1062,NorthernRockies
BLM,CTO-SS-1063,NorthernRockies
BLM,CTO-SS-1064,NorthernRockies
BLM,CTO-SS-1066,NorthernRockies
BLM,CTO-SS-1071,NorthernRockies
BLM,CTO-SS-1075,NorthernRockies
BLM,CTO-SS-1077,NorthernRockies
BLM,CTO-SS-1077,NorthernRockies
BLM,CTO-SS-1079,NorthernRockies
BLM,CTO-SS-1084,NorthernRockies
BLM,CTO-SS-1089,NorthernRockies
BLM,CTO-SS-1090,NorthernRockies
BLM,CTO-SS-1091,NorthernRockies
BLM,IF-RV-10266,NorthernRockies
BLM,IF-SS-10014,NorthernRockies
BLM,IF-SS-10310,NorthernRockies
BLM,IF-SS-10310,NorthernRockies
BLM,IF-SS-10314,NorthernRockies
BLM,IF-SS-10362,NorthernRockies
BLM,IF-SS-10438,NorthernRockies
BLM,IF-SS-10442,NorthernRockies
BLM,IF-SS-10458,NorthernRockies
BLM,IF-SS-10506,NorthernRockies
BLM,IF-SS-10554,NorthernRockies
BLM,IF-SS-10570,NorthernRockies
BLM,IF-TR-001,NorthernRockies
BLM,IF-TR-002,NorthernRockies
BLM,JA-LS-11176,NorthernXericBasin
BLM,JA-LS-14296,NorthernXericBasin
BLM,JA-LS-15848,NorthernXericBasin
BLM,JA-LS-24232,NorthernXericBasin
BLM,JA-LS-31704,NorthernXericBasin
BLM,JA-LS-35816,NorthernXericBasin
BLM,JA-LS-36840,NorthernXericBasin
BLM,JA-LS-40600,NorthernXericBasin
BLM,JA-LS-46760,NorthernXericBasin
BLM,JA-LS-74392,NorthernXericBasin
BLM,JA-RV-20632,NorthernXericBasin
BLM,JA-RV-30568,NorthernXericBasin
BLM,JA-RV-30568,NorthernXericBasin
BLM,JA-RV-31592,NorthernXericBasin
BLM,JA-RV-31592,NorthernXericBasin
BLM,JA-RV-33704,NorthernXericBasin
BLM,JA-RV-41576,NorthernXericBasin
BLM,JA-RV-45272,NorthernXericBasin
BLM,JA-RV-47528,NorthernXericBasin
BLM,JA-RV-52376,NorthernXericBasin
BLM,JA-RV-56104,NorthernXericBasin
BLM,JA-RV-57816,NorthernXericBasin
BLM,JA-RV-58984,NorthernXericBasin
BLM,JA-RV-69416,NorthernXericBasin
BLM,JA-RV-76277,NorthernXericBasin
BLM,JA-SS-25832,NorthernXericBasin
BLM,JA-SS-33832,NorthernXericBasin
BLM,JA-SS-38952,NorthernXericBasin
BLM,JA-SS-41256,NorthernXericBasin
BLM,JA-SS-55336,NorthernXericBasin
BLM,JA-SS-57384,NorthernXericBasin
BLM,JA-SS-59880,NorthernXericBasin
BLM,JA-SS-63464,NorthernXericBasin
BLM,JA-SS-67816,NorthernXericBasin
BLM,JA-TR-10631,NorthernXericBasin
BLM,JA-TR-11022,NorthernXericBasin
BLM,JA-TR-11724,NorthernXericBasin
BLM,JA-TR-1341,NorthernXericBasin
BLM,JA-TR-1371,NorthernXericBasin
BLM,JA-TR-17469,NorthernXericBasin
BLM,JA-TR-27313,NorthernXericBasin
BLM,JA-TR-3082,NorthernXericBasin
BLM,JA-TR-71453,NorthernXericBasin
BLM,JA-TR-77207,NorthernXericBasin
BLM,JA-TR-85758,NorthernXericBasin
BLM,JA-TR-88752,NorthernXericBasin
BLM,JA-TR-92249,NorthernXericBasin
BLM,MN-LS-1003,NorthernRockies
BLM,MN-LS-1004,NorthernRockies
BLM,MN-LS-1005,NorthernRockies
BLM,MN-LS-1011,NorthernRockies
BLM,MN-LS-1014,NorthernRockies
BLM,MN-LS-1017,NorthernRockies
BLM,MN-LS-1019,NorthernRockies
BLM,MN-LS-1020,NorthernRockies
BLM,MN-LS-1058,NorthernRockies
BLM,MN-LS-1062,NorthernRockies
BLM,MN-LS-1063,NorthernRockies
BLM,MN-RM-1075,NorthernRockies
BLM,MN-RO-1086,NorthernRockies
BLM,MN-SS-1099,NorthernRockies
BLM,MN-SS-1104,NorthernRockies
BLM,MN-SS-1115,NorthernRockies
BLM,MN-SS-1121,NorthernRockies
BLM,MN-SS-1123,NorthernRockies
BLM,MN-SS-1129,NorthernRockies
BLM,MN-SS-1142,NorthernRockies
BLM,MN-SS-1143,NorthernRockies
BLM,MN-SS-1147,NorthernRockies
BLM,MN-SS-1166,NorthernRockies
BLM,MN-SS-1175,NorthernRockies
BLM,OW-TR-21079,NorthernXericBasin
BLM,OW-TR-28215,NorthernXericBasin
BLM,OW-TR-49037,NorthernXericBasin
BLM,OW-TR-67676,NorthernXericBasin
BLM,OW-TR-68363,NorthernXericBasin
BLM,OW-TR-79999,NorthernXericBasin
BLM,OW-TR-80829,NorthernXericBasin
BLM,PO-LS-1006,NorthernXericBasin
BLM,PO-LS-1034,SouthernRockies
BLM,PO-LS-1034,SouthernRockies
BLM,PO-LS-1046,NorthernXericBasin
BLM,PO-RV-1001,NorthernXericBasin
BLM,PO-RV-1003,NorthernXericBasin
BLM,PO-RV-1005,NorthernXericBasin
BLM,PO-RV-1009,NorthernXericBasin
BLM,PO-RV-1021,NorthernXericBasin
BLM,PO-RV-1025,NorthernXericBasin
BLM,PO-SS-1000,NorthernRockies
BLM,PO-SS-1002,NorthernXericBasin
BLM,PO-SS-1007,NorthernXericBasin
BLM,PO-SS-1008,NorthernXericBasin
BLM,PO-SS-1010,NorthernXericBasin
BLM,PO-SS-1013,SouthernRockies
BLM,PO-SS-1015,NorthernRockies
BLM,PO-SS-1016,NorthernRockies
BLM,PO-SS-1018,SouthernRockies
BLM,PO-SS-1023,NorthernXericBasin
BLM,PO-SS-1026,NorthernXericBasin
BLM,PO-SS-1027,NorthernXericBasin
BLM,PO-SS-1030,NorthernXericBasin
BLM,PO-TR-1103,NorthernXericBasin
BLM,PO-TR-1441,SouthernRockies
BLM,PO-TR-1465,EasternXericBasin
BLM,PO-TR-65484,NorthernXericBasin
BLM,PO-TR-81214,NorthernXericBasin
BLM,SA-LS-10526,NorthernRockies
BLM,SA-LS-11386,NorthernRockies
BLM,SA-LS-12318,NorthernRockies
BLM,SA-LS-13342,NorthernRockies
BLM,SA-LS-13406,NorthernRockies
BLM,SA-LS-13578,NorthernRockies
BLM,SA-LS-13770,NorthernRockies
BLM,SA-LS-14026,NorthernRockies
BLM,SA-LS-14070,NorthernRockies
BLM,SA-LS-14602,NorthernRockies
BLM,SA-LS-22730,NorthernRockies
BLM,SA-LS-26910,NorthernRockies
BLM,SA-LS-37982,NorthernRockies
BLM,SA-LS-38090,NorthernRockies
BLM,SA-LS-40990,NorthernRockies
BLM,SA-LS-65566,NorthernRockies
BLM,SA-LS-70750,NorthernRockies
BLM,SA-LS-73758,NorthernRockies
BLM,SA-SS-10590,NorthernRockies
BLM,SA-SS-10810,NorthernRockies
BLM,SA-SS-11038,NorthernRockies
BLM,SA-SS-11078,NorthernRockies
BLM,SA-SS-11130,NorthernRockies
BLM,SA-SS-11210,NorthernRockies
BLM,SA-SS-11274,NorthernRockies
BLM,SA-SS-11322,NorthernRockies
BLM,SA-SS-12298,NorthernRockies
BLM,SA-SS-12602,NorthernRockies
BLM,SA-SS-12746,NorthernRockies
BLM,SA-SS-13178,NorthernRockies
BLM,SA-SS-13258,NorthernRockies
BLM,SA-SS-13322,NorthernRockies
BLM,SA-SS-13434,NorthernRockies
BLM,SA-SS-13626,NorthernRockies
BLM,SA-SS-13690,NorthernRockies
BLM,SA-SS-13882,NorthernRockies
BLM,SA-SS-14110,NorthernRockies
BLM,SA-SS-14458,NorthernRockies
BLM,SA-SS-14538,NorthernRockies
BLM,SA-SS-14650,NorthernRockies
BLM,SA-SS-14794,NorthernRockies
BLM,SA-SS-14906,NorthernRockies
BLM,SA-SS-15050,NorthernRockies
BLM,SA-SS-15370,NorthernRockies
BLM,SA-SS-41246,NorthernRockies
BLM,SA-SS-42270,NorthernRockies
BLM,SA-SS-51722,NorthernRockies
BLM,SA-TR-002,NorthernRockies
BLM,SA-TR-003,NorthernRockies
BLM,SA-TR-1075,NorthernRockies
BLM,SA-TR-1226,NorthernRockies
BLM,SA-TR-12421,NorthernRockies
BLM,SA-TR-1250,NorthernRockies
BLM,SA-TR-1318,NorthernRockies
BLM,SA-TR-1334,NorthernRockies
BLM,SA-TR-1373,NorthernRockies
BLM,SA-TR-15700,NorthernRockies
BLM,SA-TR-17506,NorthernRockies
BLM,SA-TR-18119,NorthernRockies
BLM,SA-TR-19973,NorthernRockies
BLM,SA-TR-2391,NorthernRockies
BLM,SA-TR-25219,NorthernRockies
BLM,SA-TR-26083,NorthernRockies
BLM,SA-TR-26447,NorthernRockies
BLM,SA-TR-3015,NorthernRockies
BLM,SA-TR-30587,NorthernRockies
BLM,SA-TR-31109,NorthernRockies
BLM,SA-TR-31742,NorthernRockies
BLM,SA-TR-37513,NorthernRockies
BLM,SA-TR-45774,NorthernRockies
BLM,SA-TR-51948,NorthernRockies
BLM,SA-TR-53432,NorthernRockies
BLM,SA-TR-56696,NorthernRockies
BLM,SA-TR-59340,NorthernRockies
BLM,SA-TR-63021,NorthernRockies
BLM,SA-TR-63873,NorthernRockies
BLM,SA-TR-64526,NorthernRockies
BLM,SH-LS-1007,NorthernXericBasin
BLM,SH-LS-1007,NorthernXericBasin
BLM,SH-LS-1008,NorthernXericBasin
BLM,SH-LS-1008,NorthernXericBasin
BLM,SH-LS-1012,NorthernXericBasin
BLM,SH-LS-1014,NorthernXericBasin
BLM,SH-LS-1028,NorthernRockies
BLM,SH-LS-1057,NorthernRockies
BLM,SH-LS-1062,NorthernXericBasin
BLM,SH-LS-1067,NorthernXericBasin
BLM,SH-LS-1067,NorthernXericBasin
BLM,SH-RV-1020,NorthernXericBasin
BLM,SH-RV-1032,NorthernXericBasin
BLM,SH-RV-1036,NorthernXericBasin
BLM,SH-SS-1005,NorthernRockies
BLM,SH-SS-1009,NorthernRockies
BLM,SH-SS-1011,NorthernRockies
BLM,SH-SS-1015,NorthernXericBasin
BLM,SH-SS-1025,NorthernRockies
BLM,SH-SS-1027,NorthernXericBasin
BLM,SH-SS-1037,NorthernRockies
BLM,SH-SS-1041,NorthernRockies
BLM,SH-SS-1042,NorthernXericBasin
BLM,SH-SS-1042,NorthernXericBasin
BLM,SH-SS-1044,NorthernRockies
BLM,SH-SS-1049,NorthernRockies
BLM,SH-SS-1060,NorthernRockies
BLM,SH-SS-1073,NorthernRockies
BLM,SH-SS-1101,NorthernRockies
BLM,SH-SS-1114,NorthernXericBasin
BLM,SH-SS-1115,NorthernXericBasin
BLM,SH-SS-1121,NorthernRockies
BLM,SH-SS-1125,NorthernRockies
BLM,SH-SS-1135,NorthernXericBasin
BLM,TF-LS-10152,NorthernXericBasin
BLM,TF-SS-10126,NorthernXericBasin
BLM,TF-SS-10385,NorthernXericBasin
BLM,TF-SS-10536,NorthernXericBasin
BLM,TF-SS-10638,NorthernRockies
BLM,US-LS-10206,NorthernRockies
BLM,US-LS-10718,NorthernXericBasin
BLM,US-LS-10822,NorthernRockies
BLM,US-LS-12358,NorthernRockies
BLM,US-LS-12870,NorthernRockies
BLM,US-LS-13214,NorthernRockies
BLM,US-LS-13510,NorthernRockies
BLM,US-LS-13638,NorthernRockies
BLM,US-LS-15046,NorthernRockies
BLM,US-LS-15430,NorthernRockies
BLM,US-LS-15774,NorthernRockies
BLM,US-RV-10462,NorthernXericBasin
BLM,US-RV-10566,NorthernRockies
BLM,US-RV-10910,NorthernXericBasin
BLM,US-RV-11590,NorthernRockies
BLM,US-SS-11614,NorthernRockies
BLM,US-SS-11678,NorthernRockies
BLM,US-SS-12190,NorthernRockies
BLM,US-SS-12446,NorthernRockies
BLM,US-SS-12702,NorthernRockies
BLM,US-SS-13470,NorthernRockies
BLM,US-SS-13662,NorthernRockies
BLM,US-SS-13766,NorthernRockies
BLM,US-SS-14662,NorthernRockies
BLM,US-SS-14918,NorthernRockies
BLM,US-SS-15366,NorthernRockies
BLM,US-SS-15558,NorthernRockies
BLM,US-SS-15686,NorthernRockies
BLM,XN-LS-4003,NorthernXericBasin
BLM,XN-LS-4006,NorthernXericBasin
BLM,XN-LS-4010,NorthernXericBasin
BLM,XN-LS-4011,NorthernXericBasin
BLM,XN-LS-4012,NorthernXericBasin
BLM,XN-LS-4014,NorthernXericBasin
BLM,XN-LS-4016,NorthernXericBasin
BLM,XN-LS-4018,NorthernXericBasin
BLM,XN-LS-4019,NorthernXericBasin
BLM,XN-LS-4026,NorthernXericBasin
BLM,XN-LS-4028,NorthernXericBasin
BLM,XN-LS-4029,NorthernXericBasin
BLM,XN-LS-4058,NorthernXericBasin
BLM,XN-LS-4063,NorthernXericBasin
BLM,XN-RM-4072,NorthernXericBasin
BLM,XN-RM-4073,NorthernXericBasin
BLM,XN-RM-4077,NorthernXericBasin
BLM,XN-RM-4078,NorthernXericBasin
BLM,XN-RO-4082,NorthernXericBasin
BLM,XN-RO-4085,NorthernXericBasin
BLM,XN-RO-4086,NorthernXericBasin
BLM,XN-SS-4097,NorthernXericBasin
BLM,XN-SS-4101,NorthernXericBasin
BLM,XN-SS-4109,NorthernXericBasin
BLM,XN-SS-4113,NorthernXericBasin
BLM,XN-SS-4124,NorthernXericBasin
BLM,XN-SS-4129,NorthernXericBasin
BLM,XN-SS-4135,NorthernXericBasin
BLM,XN-SS-4143,NorthernXericBasin
BLM,XN-SS-4145,NorthernXericBasin
DEQ BURP,1993SBOIA001,NorthernRockies
DEQ BURP,1993SBOIA002,NorthernRockies
DEQ BURP,1993SBOIA003,NorthernRockies
DEQ BURP,1993SBOIA004,NorthernXericBasin
DEQ BURP,1993SBOIA005,NorthernRockies
DEQ BURP,1993SBOIA006,NorthernRockies
DEQ BURP,1993SBOIA007,NorthernRockies
DEQ BURP,1993SBOIA008,NorthernRockies
DEQ BURP,1993SBOIA009,NorthernRockies
DEQ BURP,1993SBOIA010,NorthernRockies
DEQ BURP,1993SBOIA011,NorthernRockies
DEQ BURP,1993SBOIA012,NorthernRockies
DEQ BURP,1993SBOIA013,NorthernRockies
DEQ BURP,1993SBOIA014,NorthernRockies
DEQ BURP,1993SBOIA015,NorthernRockies
DEQ BURP,1993SBOIA016,NorthernRockies
DEQ BURP,1993SBOIA017,NorthernRockies
DEQ BURP,1993SBOIA018,NorthernRockies
DEQ BURP,1993SBOIA019,NorthernRockies
DEQ BURP,1993SBOIA020,NorthernRockies
DEQ BURP,1993SBOIA021,NorthernRockies
DEQ BURP,1993SBOIA022,NorthernRockies
DEQ BURP,1993SBOIA023,NorthernRockies
DEQ BURP,1993SBOIA024,NorthernRockies
DEQ BURP,1993SBOIA025,NorthernRockies
DEQ BURP,1993SBOIA026,NorthernRockies
DEQ BURP,1993SBOIA027,NorthernRockies
DEQ BURP,1993SBOIA028,NorthernRockies
DEQ BURP,1993SBOIA029,NorthernRockies
DEQ BURP,1993SBOIA030,NorthernRockies
DEQ BURP,1993SBOIA031,NorthernRockies
DEQ BURP,1993SBOIA032,NorthernRockies
DEQ BURP,1993SBOIA033,NorthernRockies
DEQ BURP,1993SBOIA034,NorthernRockies
DEQ BURP,1993SBOIA035,NorthernRockies
DEQ BURP,1993SBOIA036,NorthernRockies
DEQ BURP,1993SBOIA037,NorthernRockies
DEQ BURP,1993SBOIA038,NorthernRockies
DEQ BURP,1993SBOIA039,NorthernRockies
DEQ BURP,1993SBOIA040,NorthernRockies
DEQ BURP,1993SBOIA041,NorthernRockies
DEQ BURP,1993SBOIA042,NorthernRockies
DEQ BURP,1993SBOIA043,NorthernRockies
DEQ BURP,1993SBOIA044,NorthernXericBasin
DEQ BURP,1993SBOIA045,NorthernXericBasin
DEQ BURP,1993SBOIA046,NorthernXericBasin
DEQ BURP,1993SBOIA047,NorthernXericBasin
DEQ BURP,1993SBOIA048,NorthernXericBasin
DEQ BURP,1993SBOIA049,NorthernXericBasin
DEQ BURP,1993SBOIA050,NorthernXericBasin
DEQ BURP,1993SBOIA051,NorthernXericBasin
DEQ BURP,1993SBOIA052,NorthernXericBasin
DEQ BURP,1993SBOIA053,NorthernXericBasin
DEQ BURP,1993SBOIA054,NorthernXericBasin
DEQ BURP,1993SBOIA055,NorthernRockies
DEQ BURP,1993SIDFA012,NorthernRockies
DEQ BURP,1993SIDFA013,NorthernRockies
DEQ BURP,1993SIDFA014,NorthernRockies
DEQ BURP,1993SIDFA015,NorthernRockies
DEQ BURP,1993SIDFA016,NorthernRockies
DEQ BURP,1993SIDFA017,NorthernRockies
DEQ BURP,1993SIDFA018,NorthernRockies
DEQ BURP,1993SIDFA019,NorthernRockies
DEQ BURP,1993SIDFA020,NorthernXericBasin
DEQ BURP,1993SIDFA021,NorthernXericBasin
DEQ BURP,1993SIDFA022,NorthernRockies
DEQ BURP,1993SIDFA023,NorthernRockies
DEQ BURP,1993SIDFA024,NorthernXericBasin
DEQ BURP,1993SIDFA025,NorthernRockies
DEQ BURP,1993SIDFA026,NorthernXericBasin
DEQ BURP,1993SIDFA027,NorthernXericBasin
DEQ BURP,1993SIDFA028,NorthernXericBasin
DEQ BURP,1993SIDFA029,NorthernRockies
DEQ BURP,1993SIDFA030,NorthernXericBasin
DEQ BURP,1993SIDFA031,NorthernXericBasin
DEQ BURP,1993SIDFA032,NorthernXericBasin
DEQ BURP,1993SIDFA033,NorthernRockies
DEQ BURP,1993SIDFA034,NorthernRockies
DEQ BURP,1993SIDFA035,NorthernRockies
DEQ BURP,1993SIDFA036,NorthernRockies
DEQ BURP,1993SIDFA037,NorthernRockies
DEQ BURP,1993SIDFA038,NorthernRockies
DEQ BURP,1993SIDFA039,NorthernRockies
DEQ BURP,1993SIDFA040,NorthernRockies
DEQ BURP,1993SIDFA041,NorthernRockies
DEQ BURP,1993SIDFA042,NorthernRockies
DEQ BURP,1993SIDFA043,NorthernRockies
DEQ BURP,1993SIDFA044,NorthernRockies
DEQ BURP,1993SIDFA045,NorthernRockies
DEQ BURP,1993SIDFA046,NorthernRockies
DEQ BURP,1993SIDFA047,NorthernRockies
DEQ BURP,1993SIDFA048,NorthernRockies
DEQ BURP,1993SPOCA001,NorthernXericBasin
DEQ BURP,1993SPOCA002,NorthernXericBasin
DEQ BURP,1993SPOCA003,NorthernXericBasin
DEQ BURP,1993SPOCA004,NorthernXericBasin
DEQ BURP,1993SPOCA005,NorthernXericBasin
DEQ BURP,1993SPOCA006,NorthernXericBasin
DEQ BURP,1993SPOCA007,NorthernXericBasin
DEQ BURP,1993SPOCA008,NorthernRockies
DEQ BURP,1993SPOCA009,NorthernRockies
DEQ BURP,1993SPOCA010,NorthernRockies
DEQ BURP,1993SPOCA011,NorthernRockies
DEQ BURP,1993STWFA001,NorthernRockies
DEQ BURP,1993STWFA002,NorthernXericBasin
DEQ BURP,1993STWFA003,NorthernRockies
DEQ BURP,1993STWFA004,NorthernRockies
DEQ BURP,1993STWFA005,NorthernXericBasin
DEQ BURP,1993STWFA006,NorthernRockies
DEQ BURP,1993STWFA007,NorthernRockies
DEQ BURP,1993STWFA008,NorthernRockies
DEQ BURP,1993STWFA009,NorthernRockies
DEQ BURP,1993STWFA010,NorthernXericBasin
DEQ BURP,1993STWFA011,NorthernRockies
DEQ BURP,1993STWFA012,NorthernRockies
DEQ BURP,1993STWFA013,NorthernXericBasin
DEQ BURP,1993STWFA014,NorthernRockies
DEQ BURP,1993STWFA015,NorthernXericBasin
DEQ BURP,1993STWFA016,NorthernXericBasin
DEQ BURP,1993STWFA017,NorthernXericBasin
DEQ BURP,1993STWFA018,NorthernRockies
DEQ BURP,1993STWFA019,NorthernRockies
DEQ BURP,1993STWFA020,NorthernRockies
DEQ BURP,1993STWFA021,NorthernXericBasin
DEQ BURP,1993STWFA022,NorthernRockies
DEQ BURP,1993STWFA023,NorthernRockies
DEQ BURP,1993STWFA024,NorthernRockies
DEQ BURP,1993STWFA025,NorthernXericBasin
DEQ BURP,1993STWFA026,NorthernXericBasin
DEQ BURP,1993STWFA027,NorthernRockies
DEQ BURP,1993STWFA028,NorthernXericBasin
DEQ BURP,1993STWFA030,NorthernRockies
DEQ BURP,1993STWFA031,NorthernRockies
DEQ BURP,1993STWFA032,NorthernRockies
DEQ BURP,1993STWFA033,NorthernRockies
DEQ BURP,1993STWFA034,NorthernXericBasin
DEQ BURP,1993STWFA035,NorthernXericBasin
DEQ BURP,1993STWFA036,NorthernXericBasin
DEQ BURP,1993STWFA037,NorthernRockies
DEQ BURP,1993STWFA038,NorthernXericBasin
DEQ BURP,1993STWFA039,NorthernRockies
DEQ BURP,1993STWFA040,NorthernRockies
DEQ BURP,1993STWFA041,NorthernXericBasin
DEQ BURP,1993STWFA042,NorthernXericBasin
DEQ BURP,1993STWFA043,NorthernRockies
DEQ BURP,1993STWFA044,NorthernRockies
DEQ BURP,1993STWFA045,NorthernXericBasin
DEQ BURP,1994SBOIA001,NorthernXericBasin
DEQ BURP,1994SBOIA002,NorthernXericBasin
DEQ BURP,1994SBOIA003,NorthernXericBasin
DEQ BURP,1994SBOIA004,NorthernXericBasin
DEQ BURP,1994SBOIA005,NorthernXericBasin
DEQ BURP,1994SBOIA006,NorthernXericBasin
DEQ BURP,1994SBOIA007,NorthernXericBasin
DEQ BURP,1994SBOIA008,NorthernXericBasin
DEQ BURP,1994SBOIA009,NorthernXericBasin
DEQ BURP,1994SBOIA010,NorthernXericBasin
DEQ BURP,1994SBOIA011,NorthernXericBasin
DEQ BURP,1994SBOIA012,NorthernXericBasin
DEQ BURP,1994SBOIA013,NorthernXericBasin
DEQ BURP,1994SBOIA014,NorthernXericBasin
DEQ BURP,1994SBOIA015,NorthernXericBasin
DEQ BURP,1994SBOIA017,NorthernRockies
DEQ BURP,1994SBOIA018,NorthernRockies
DEQ BURP,1994SBOIA019,NorthernRockies
DEQ BURP,1994SBOIA020,NorthernRockies
DEQ BURP,1994SBOIA021,NorthernRockies
DEQ BURP,1994SBOIA022,NorthernRockies
DEQ BURP,1994SBOIA023,NorthernRockies
DEQ BURP,1994SBOIA024,NorthernRockies
DEQ BURP,1994SBOIA025,NorthernRockies
DEQ BURP,1994SBOIA026,NorthernRockies
DEQ BURP,1994SBOIA027,NorthernRockies
DEQ BURP,1994SBOIA028,NorthernRockies
DEQ BURP,1994SBOIA029,NorthernRockies
DEQ BURP,1994SBOIA030,NorthernRockies
DEQ BURP,1994SBOIA031,NorthernRockies
DEQ BURP,1994SBOIA032,NorthernRockies
DEQ BURP,1994SBOIA033,NorthernRockies
DEQ BURP,1994SBOIA034,NorthernRockies
DEQ BURP,1994SBOIA035,NorthernRockies
DEQ BURP,1994SBOIA036,NorthernRockies
