BURPID,STREAM,HUC4CODE,HUC4NAME,BASIN,WBSEGMENT,Dominant Habitat Type,Instream Cover Score,Instream Cover Scale,Embeddedness (Riffles) Score,Embeddedness (Riffles) Scale,Channel Shape Score,Channel Shape Scale,Disruptive Pressures Score,Disruptive Pressures Scale,Zone Of Influence Score,Zone Of Influence Scale,Pool Substrate Characteristic Score,Pool Substrate Characteristic Scale,Pool Variability Score,Pool Variability Scale,Silt/Sand (? 2.5 mm) - Wet Fines/Wet Total %,Silt/Sand (? 2.5 mm) - Dry Fines/Dry Total %,Silt/Sand (? 2.5 mm) - All Fines/All Total Total %,Silt/Sand/VFP (? 6 mm) - Wet Fines/Wet Total %,Silt/Sand/VFP (? 6 mm) - Dry Fines/Dry Total %,Silt/Sand/VFP (? 6 mm) - All Fines/All Total %
1993SBOIA012,Wildhorse River,17050201,Brownlee Reservoir,Southwest,ID17050201SW015_04,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA013,Bear Creek,17050201,Brownlee Reservoir,Southwest,ID17050201SW016_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA014,Crooked River,17050201,Brownlee Reservoir,Southwest,ID17050201SW015_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA015,East Fork Weiser River,17050124,Weiser,Southwest,ID17050124SW016_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA016,Mann Creek,17050124,Weiser,Southwest,ID17050124SW032_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA017,Riordan Creek,17060208,South Fork Salmon,Salmon,ID17060208SL028_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA018,Anderson Creek,17050121,Middle Fork Payette,Southwest,ID17050121SW002_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA019,Scriver Creek,17050121,Middle Fork Payette,Southwest,ID17050121SW010_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA020,Silver Creek,17050121,Middle Fork Payette,Southwest,ID17050121SW007_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA021,Silver Creek,17050121,Middle Fork Payette,Southwest,ID17050121SW007_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA022,Big Bulldog Creek,17050121,Middle Fork Payette,Southwest,ID17050121SW004_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA023,Deadwood River,17050120,South Fork Payette,Southwest,ID17050120SW019_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA024,Deadwood River,17050120,South Fork Payette,Southwest,ID17050120SW019_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA025,West Fork Weiser River,17050124,Weiser,Southwest,ID17050124SW017_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA026,West Fork Weiser River,17050124,Weiser,Southwest,ID17050124SW017_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA027,Middle Fork Weiser River,17050124,Weiser,Southwest,ID17050124SW014_03a,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA028,Middle Fork Weiser River,17050124,Weiser,Southwest,ID17050124SW014_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA029,Hornet Creek,17050124,Weiser,Southwest,ID17050124SW021_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA030,Indian Creek,17050201,Brownlee Reservoir,Southwest,ID17050201SW017_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA031,Indian Creek,17050201,Brownlee Reservoir,Southwest,ID17050201SW017_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA032,Deep Creek,17060101,Hells Canyon,Salmon,ID17060101SL004_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA033,Deep Creek,17060101,Hells Canyon,Salmon,ID17060101SL004_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA034,Grimes Creek,17050112,Boise-Mores,Southwest,ID17050112SW013_05,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA035,Grimes Creek,17050112,Boise-Mores,Southwest,ID17050112SW013_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA036,Rabbit Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW015_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA037,Crooked River,17050111,North and Middle Forks Boise,Southwest,ID17050111SW014_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA038,Bear River,17050111,North and Middle Forks Boise,Southwest,ID17050111SW012_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA039,Yuba River,17050111,North and Middle Forks Boise,Southwest,ID17050111SW004_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA040,Black Warrior Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW008_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA041,Lost Man Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW001_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA042,Deep Creek,17060101,Hells Canyon,Salmon,ID17060101SL004_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA043,Deep Creek,17060101,Hells Canyon,Salmon,ID17060101SL004_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA044,Little Canyon Creek,17050101,C. J. Strike Reservoir,Southwest,ID17050101SW012_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA045,Little Canyon Creek,17050101,C. J. Strike Reservoir,Southwest,ID17050101SW012_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA046,Bruneau River,17050102,Bruneau,Southwest,ID17050102SW020_05,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA047,Jarbidge River,17050102,Bruneau,Southwest,ID17050102SW021_04,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA048,Bruneau River,17050102,Bruneau,Southwest,ID17050102SW013_05,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA049,Little Jacks Creek,17050102,Bruneau,Southwest,ID17050102SW003_04,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA050,Cabin Creek,17050107,Middle Owyhee,Southwest,ID17050107SW011_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA051,Juniper Creek,17050107,Middle Owyhee,Southwest,ID17050107SW012_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA052,Red Canyon,17050104,Upper Owyhee,Southwest,ID17050104SW034_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA053,Deep Creek,17050104,Upper Owyhee,Southwest,ID17050104SW026_05,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA054,Bennett Creek,17050101,C. J. Strike Reservoir,Southwest,ID17050101SW016_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SBOIA055,Fisher Creek,17050123,North Fork Payette,Southwest,ID17050123SW022_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA012,Palisades Creek,17040104,Palisades,Upper Snake,ID17040104SK027_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA013,Palisades Creek,17040104,Palisades,Upper Snake,ID17040104SK027_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA014,Rainey Creek,17040104,Palisades,Upper Snake,ID17040104SK028_04,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA015,Rainey Creek,17040104,Palisades,Upper Snake,ID17040104SK028_04,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA016,Fall Creek,17040104,Palisades,Upper Snake,ID17040104SK006_04,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA017,Fall Creek,17040104,Palisades,Upper Snake,ID17040104SK005_04,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA018,Pine Creek,17040104,Palisades,Upper Snake,ID17040104SK029_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA019,West Pine Creek,17040104,Palisades,Upper Snake,ID17040104SK029_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA020,Squirrel Creek,17040203,Lower Henrys,Upper Snake,ID17040203SK008_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA021,Squirrel Creek,17040203,Lower Henrys,Upper Snake,ID17040203SK008_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA022,Robinson Creek,17040202,Upper Henrys,Upper Snake,ID17040202SK011_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA023,Robinson Creek,17040202,Upper Henrys,Upper Snake,ID17040202SK006_04,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA024,Conant Creek,17040203,Lower Henrys,Upper Snake,ID17040203SK006_04,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA025,Conant Creek,17040203,Lower Henrys,Upper Snake,ID17040203SK007_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA026,Tex Creek,17040205,Willow,Upper Snake,ID17040205SK031_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA027,Bulls Fork,17040205,Willow,Upper Snake,ID17040205SK030_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA028,Bulls Fork,17040205,Willow,Upper Snake,ID17040205SK030_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA029,Meadow Creek,17040205,Willow,Upper Snake,ID17040205SK032_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA030,Meadow Creek,17040205,Willow,Upper Snake,ID17040205SK032_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA031,Willow Creek,17040205,Willow,Upper Snake,ID17040205SK001_05,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA032,Willow Creek,17040205,Willow,Upper Snake,ID17040205SK005_05,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA033,Garden Creek,17060201,Upper Salmon,Salmon,ID17060201SL015_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA034,Garden Creek,17060201,Upper Salmon,Salmon,ID17060201SL015_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA035,Challis Creek,17060201,Upper Salmon,Salmon,ID17060201SL012_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA036,Challis Creek,17060201,Upper Salmon,Salmon,ID17060201SL009_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA037,East Fork Big Lost River,17040218,Big Lost,Upper Snake,ID17040218SK033_04,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA038,East Fork Big Lost River,17040218,Big Lost,Upper Snake,ID17040218SK039_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA039,North Fork Big Lost River,17040218,Big Lost,Upper Snake,ID17040218SK025_04,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA040,North Fork Big Lost River,17040218,Big Lost,Upper Snake,ID17040218SK027_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA041,Valley Creek,17060201,Upper Salmon,Salmon,ID17060201SL051_04,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA042,Valley Creek,17060201,Upper Salmon,Salmon,ID17060201SL053_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA043,Stanley Creek,17060201,Upper Salmon,Salmon,ID17060201SL052_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA044,Stanley Creek,17060201,Upper Salmon,Salmon,ID17060201SL052_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA045,Van Horn Creek,17060201,Upper Salmon,Salmon,ID17060201SL003_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA046,Van Horn Creek,17060201,Upper Salmon,Salmon,ID17060201SL003_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA047,Lick Creek,17060201,Upper Salmon,Salmon,ID17060201SL003_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SIDFA048,Lick Creek,17060201,Upper Salmon,Salmon,ID17060201SL003_02,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SPOCA001,Inman Creek,17040208,Portneuf,Upper Snake,ID17040208SK023_03b,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SPOCA002,Webb Creek,17040208,Portneuf,Upper Snake,ID17040208SK023_02c,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SPOCA003,Webb Creek,17040208,Portneuf,Upper Snake,ID17040208SK023_02c,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SPOCA004,Pebble Creek,17040208,Portneuf,Upper Snake,ID17040208SK022_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SPOCA005,Pebble Creek,17040208,Portneuf,Upper Snake,ID17040208SK022_03,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
1993SPOCA006,Little Toponce Creek,17040208,Portneuf,Upper Snake,ID17040208SK021_02a,Glide/Pool,0,0 to 20,0,0 to 20,0,0 to 15,0,0 to 10,0,0 to 10,0,0 to 20,0,0 to 20,NULL,NULL,NULL,NULL,NULL,NULL
