MLOC_ID,COMID,STREAM,HUC4CODE,HUC4NAME,BASIN,WBSEGMENT,STR_ORDR,GRADIENT,YEAR,REFERENCE,ECO_REG,ECO4NAME,ELEVATION,SITECLASS,LATITUDE,LONGITUDE,METTYP_ID,ACTMET_VALUE
1998SBOIA022,23316818,Deep Creek,17050104,Upper Owyhee,Southwest,ID17050104SW026_05,5,0.00001,1998,Other,Snake River Basin/high Desert,Dissected High Lava Plateau,4760,PPBV,42.383811,-116.652411,FSBI(score),25
1998SBOIA023,23316972,Deep Creek,17050104,Upper Owyhee,Southwest,ID17050104SW026_04,4,0.002026,1998,Other,Snake River Basin/high Desert,Owyhee Uplands and Canyons,5194,PPBV,42.581337,-116.676367,FSBI(score),30
1998SBOIA024,23300334,Reynolds Creek,17050103,Middle Snake-Succor,Southwest,ID17050103SW009_04,4,0.007391,1998,Other,Snake River Basin/high Desert,Unwooded Alkaline Foothills,2323,PPBV,43.359793,-116.65364,FSBI(score),0
1998SBOIA025,23300358,Reynolds Creek,17050103,Middle Snake-Succor,Southwest,ID17050103SW009_04,4,0.011273,1998,Other,Snake River Basin/high Desert,Unwooded Alkaline Foothills,2431,PPBV,43.338227,-116.676853,FSBI(score),25
1998SBOIA026,23378112,Straight Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW001_02,1,0.126032,1998,Reference,Northern Rockies,Southern Forested Mountains,4121,Mountains,43.788079,-115.446611,FSBI(score),110
1998SBOIA027,23378104,Dutch Frank Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW001_02,1,0.166202,1998,Reference,Northern Rockies,Southern Forested Mountains,4357,Mountains,43.792648,-115.434118,FSBI(score),50
1998SBOIA028,23378090,Granite Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW001_02,2,0.047552,1998,Reference,Northern Rockies,Southern Forested Mountains,4278,Mountains,43.80169,-115.406413,FSBI(score),210
1998SBOIA029,23378352,Lost Man Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW001_02,2,0.048083,1998,Other,Northern Rockies,Southern Forested Mountains,5791,Mountains,43.725102,-115.423802,FSBI(score),180
1998SBOIA030,23377600,Rabbit Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW015_03,3,0.031914,1998,Other,Northern Rockies,Southern Forested Mountains,3983,Mountains,43.790311,-115.607015,FSBI(score),185
1998SBOIA031,23378140,Road Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW001_02a,1,0.151826,1998,Other,Northern Rockies,Southern Forested Mountains,3917,Mountains,43.780061,-115.52793,FSBI(score),65
1998SBOIA032,23378138,Alexander Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW001_02a,1,0.085748,1998,Other,Northern Rockies,Southern Forested Mountains,3898,Mountains,43.779313,-115.509006,FSBI(score),90
1998SBOIA033,23378576,Dutch Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW001_02,1,0.163925,1998,Other,Northern Rockies,Southern Forested Mountains,4331,Mountains,43.808714,-115.370722,FSBI(score),155
1998SBOIA034,23378020,Steppe Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW001_02,1,0.169986,1998,Reference,Northern Rockies,Southern Forested Mountains,4610,Mountains,43.832573,-115.299975,FSBI(score),155
1998SBOIA035,23377270,Decker Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW005_02,1,0.090439,1998,Reference,Northern Rockies,Southern Forested Mountains,6673,Mountains,43.763189,-115.07856,FSBI(score),240
1998SBOIA036,23377254,Decker Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW005_03,3,0.036003,1998,Other,Northern Rockies,Southern Forested Mountains,5492,Mountains,43.768614,-115.142917,FSBI(score),235
1998SBOIA037,23378044,Snyder Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW001_02,1,0.205422,1998,Reference,Northern Rockies,Southern Forested Mountains,5000,Mountains,43.823408,-115.219821,FSBI(score),140
1998SBOIA038,23378042,Eagle Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW001_02,1,0.100189,1998,Reference,Northern Rockies,Southern Forested Mountains,4898,Mountains,43.823016,-115.232933,FSBI(score),180
1998SBOIA039,23378030,Smith Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW001_02,1,0.19277,1998,Reference,Northern Rockies,Southern Forested Mountains,4675,Mountains,43.832652,-115.313509,FSBI(score),145
1998SBOIA040,23377204,Hot Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW003_02,1,0.127685,1998,Other,Northern Rockies,Southern Forested Mountains,6204,Mountains,43.794168,-115.313672,FSBI(score),200
1998SBOIA041,23378176,Lost Man Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW001_03,3,0.049043,1998,Other,Northern Rockies,Southern Forested Mountains,5105,Mountains,43.75426,-115.429971,FSBI(score),270
1998SBOIA042,23377624,Rabbit Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW015_02,2,0.036969,1998,Other,Northern Rockies,Southern Forested Mountains,4915,Mountains,43.821634,-115.693697,FSBI(score),155
1998SBOIA043,23378036,North Fork Rabbit Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW015_02,2,0.02475,1998,Other,Northern Rockies,Southern Forested Mountains,5030,Mountains,43.832536,-115.6926,FSBI(score),110
1998SBOIA044,24164287,Scriver Creek,17050121,Middle Fork Payette,Southwest,ID17050121SW010_03,3,0.044067,1998,Other,Blue Mountains,Southern Forested Mountains,3556,Mountains,44.187445,-116.000019,FSBI(score),275
1998SBOIA045,24166966,Big Willow Creek,17050122,Payette,Southwest,ID17050122SW017_03,3,0.00336,1998,Other,Snake River Basin/high Desert,Unwooded Alkaline Foothills,2461,PPBV,44.051079,-116.570553,FSBI(score),5
1998SBOIA046,24166996,Big Willow Creek,17050122,Payette,Southwest,ID17050122SW017_03,3,0.019365,1998,Other,Snake River Basin/high Desert,Semiarid Foothills,3215,PPBV,44.095122,-116.453509,FSBI(score),45
1998SBOIA047,23377652,French Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW017_02,2,0.053421,1998,Stress,Northern Rockies,Southern Forested Mountains,5108,Mountains,43.752207,-115.696569,FSBI(score),230
1998SBOIA048,23377646,Meadow Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW016_02,1,0.027383,1998,Stress,Northern Rockies,Southern Forested Mountains,5522,Mountains,43.780267,-115.672646,FSBI(score),120
1998SBOIA049,23378010,Hungarian Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW010_02,1,0.099056,1998,Other,Northern Rockies,Southern Forested Mountains,5561,Mountains,43.833599,-115.587169,FSBI(score),160
1998SBOIA050,23378326,Hungarian Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW010_02,2,0.063012,1998,Other,Northern Rockies,Southern Forested Mountains,4209,Mountains,43.817824,-115.534476,FSBI(score),95
1998SBOIA051,23378530,Wood Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW014_02,1,0.123036,1998,Other,Northern Rockies,Southern Forested Mountains,5584,Mountains,43.854736,-115.59262,FSBI(score),220
1998SBOIA052,23387831,Cow Creek,17050113,South Fork Boise,Southwest,ID17050113SW004_02,2,0.096214,1998,Stress,Snake River Basin/high Desert,Foothill Shrublands-Grasslands,3839,PPBV,43.361669,-115.551637,FSBI(score),40
1998SBOIA053,23387829,Rough Creek,17050113,South Fork Boise,Southwest,ID17050113SW004_02,1,0.151436,1998,Reference,Snake River Basin/high Desert,Foothill Shrublands-Grasslands,3783,PPBV,43.358003,-115.53908,FSBI(score),80
1998SBOIA054,23388021,Dixie Creek,17050113,South Fork Boise,Southwest,ID17050113SW004_03,3,0.007351,1998,Other,Snake River Basin/high Desert,Foothill Shrublands-Grasslands,4662,PPBV,43.32968,-115.472399,FSBI(score),0
1998SBOIA055,23386499,Hunter Creek,17050113,South Fork Boise,Southwest,ID17050113SW011_02,1,0.028602,1998,Other,Northern Rockies,Foothill Shrublands-Grasslands,5623,PPBV,43.393327,-115.136605,FSBI(score),30
1998SBOIA056,23386489,Hunter Creek,17050113,South Fork Boise,Southwest,ID17050113SW011_02,2,0.029165,1998,Other,Northern Rockies,Southern Forested Mountains,5348,Mountains,43.439381,-115.138752,FSBI(score),100
1998SBOIA057,23386541,Middle Fork Lime Creek,17050113,South Fork Boise,Southwest,ID17050113SW010_03,3,0.030144,1998,Reference,Northern Rockies,Southern Forested Mountains,5387,Mountains,43.454373,-115.124189,FSBI(score),180
1998SBOIA058,23386503,South Fork Lime Creek,17050113,South Fork Boise,Southwest,ID17050113SW011_03,3,0.018444,1998,Other,Northern Rockies,Southern Forested Mountains,5299,Mountains,43.444339,-115.133605,FSBI(score),220
1998SBOIA059,23386471,Lime Creek,17050113,South Fork Boise,Southwest,ID17050113SW010_04,4,0.011431,1998,Other,Northern Rockies,Southern Forested Mountains,5023,Mountains,43.421919,-115.190284,FSBI(score),190
1998SBOIA061,23389811,Buckhorn Creek,17050113,South Fork Boise,Southwest,ID17050113SW010_02,1,0.099376,1998,Other,Northern Rockies,Southern Forested Mountains,6247,Mountains,43.528399,-115.13399,FSBI(score),195
1998SBOIA062,23386459,Lime Creek,17050113,South Fork Boise,Southwest,ID17050113SW010_05,5,0.021292,1998,Other,Snake River Basin/high Desert,Southern Forested Mountains,4245,Mountains,43.418729,-115.27564,FSBI(score),160
1998SBOIA063,23552012,Rice Creek,17060208,South Fork Salmon,Salmon,ID17060208SL018_02,1,0.101169,1998,Other,Northern Rockies,Southern Forested Mountains,6362,Mountains,44.535594,-115.632201,FSBI(score),230
1998SBOIA064,23552008,Rice Creek,17060208,South Fork Salmon,Salmon,ID17060208SL018_02,2,0.042881,1998,Other,Northern Rockies,Southern Forested Mountains,5548,Mountains,44.560357,-115.676121,FSBI(score),195
1998SBOIA065,23552084,Tyndall Creek,17060208,South Fork Salmon,Salmon,ID17060208SL010_02,1,0.055138,1998,Reference,Northern Rockies,Southern Forested Mountains,5459,Mountains,44.576276,-115.697903,FSBI(score),200
1998SBOIA066,23553594,Trail Creek,17060208,South Fork Salmon,Salmon,ID17060208SL017_02,1,0.060682,1998,Other,Northern Rockies,Southern Forested Mountains,5997,Mountains,44.630205,-115.7717,FSBI(score),190
1998SBOIA067,23553584,Trail Creek,17060208,South Fork Salmon,Salmon,ID17060208SL017_02,2,0.05165,1998,Other,Northern Rockies,Southern Forested Mountains,5305,Mountains,44.633267,-115.72338,FSBI(score),135
1998SBOIA068,23551624,Johnson Creek,17060208,South Fork Salmon,Salmon,ID17060208SL025_03,3,0.043691,1998,Other,Northern Rockies,Southern Forested Mountains,5413,Mountains,44.78584,-115.526175,FSBI(score),175
1998SBOIA070,23377528,Bear River,17050111,North and Middle Forks Boise,Southwest,ID17050111SW012_03,3,0.019261,1998,Other,Northern Rockies,Southern Forested Mountains,4993,Mountains,43.946369,-115.446998,FSBI(score),180
1998SBOIA071,23377518,Bear River,17050111,North and Middle Forks Boise,Southwest,ID17050111SW012_03,3,0.000383,1998,Other,Northern Rockies,Southern Forested Mountains,4547,Mountains,43.893071,-115.488647,FSBI(score),220
1998SBOIA072,23378286,Lamar Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW014_02,1,0.099915,1998,Reference,Northern Rockies,Southern Forested Mountains,5568,Mountains,43.946932,-115.644926,FSBI(score),265
1998SBOIA073,23382473,Grimes Creek,17050112,Boise-Mores,Southwest,ID17050112SW013_04,4,0.000346,1998,Other,Blue Mountains,Southern Forested Mountains,4285,Mountains,43.943302,-115.865917,FSBI(score),190
1998SBOIA074,23382453,Grimes Creek,17050112,Boise-Mores,Southwest,ID17050112SW013_05,5,0.002718,1998,Other,Blue Mountains,Southern Forested Mountains,4045,Mountains,43.849989,-115.929242,FSBI(score),80
1998SBOIA075,23382427,Grimes Creek,17050112,Boise-Mores,Southwest,ID17050112SW013_05,5,0.015256,1998,Other,Blue Mountains,Southern Forested Mountains,3363,Mountains,43.72691,-115.953929,FSBI(score),75
1998SBOIA076,24164321,Lightning Creek,17050121,Middle Fork Payette,Southwest,ID17050121SW003_03,3,0.036821,1998,Other,Northern Rockies,Southern Forested Mountains,3422,Mountains,44.184252,-115.920113,FSBI(score),210
1998SBOIA077,24164321,Lightning Creek,17050121,Middle Fork Payette,Southwest,ID17050121SW003_03,3,0.036821,1998,Reference,Northern Rockies,Southern Forested Mountains,3671,Mountains,44.184784,-115.894181,FSBI(score),165
1998SBOIA078,23377780,Pikes Fork,17050111,North and Middle Forks Boise,Southwest,ID17050111SW014_03,3,0.015562,1998,Other,Northern Rockies,Southern Forested Mountains,5200,Mountains,43.972621,-115.561383,FSBI(score),200
1998SBOIA079,23378460,Pikes Fork,17050111,North and Middle Forks Boise,Southwest,ID17050111SW014_02,2,0.019146,1998,Other,Northern Rockies,Southern Forested Mountains,5459,Mountains,43.990574,-115.52332,FSBI(score),215
1998SBOIA080,23377756,Banner Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW014_02,2,0.025857,1998,Other,Northern Rockies,Southern Forested Mountains,5318,Mountains,43.98733,-115.546356,FSBI(score),250
1998SBOIA081,23377792,Beaver Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW014_02,2,0.012741,1998,Other,Northern Rockies,Southern Forested Mountains,5112,Mountains,43.969543,-115.608637,FSBI(score),200
1998SBOIB005,23399021,Blacks Creek,17050114,Lower Boise,Southwest,ID17050114SW009_03,3,0.00793,1998,Stress,Snake River Basin/high Desert,Mountain Home Uplands,3238,PPBV,43.456627,-116.117279,FSBI(score),0
1998SBOIB006,23399033,Blacks Creek,17050114,Lower Boise,Southwest,ID17050114SW009_02,2,0.023833,1998,Other,Snake River Basin/high Desert,Mountain Home Uplands,3796,PPBV,43.482286,-115.973166,FSBI(score),15
1998SBOIB009,23360665,Louse Creek,17050108,Jordan,Southwest,ID17050108SW018_03,3,0.02479,1998,Other,Snake River Basin/high Desert,Owyhee Uplands and Canyons,4764,PPBV,42.934697,-116.868169,FSBI(score),105
1998SBOIB011,23360557,Rock Creek,17050108,Jordan,Southwest,ID17050108SW013_03,3,0.00001,1998,Other,Snake River Basin/high Desert,Owyhee Uplands and Canyons,5433,PPBV,42.73005,-116.550218,FSBI(score),45
1998SBOIB012,23360581,Rock Creek,17050108,Jordan,Southwest,ID17050108SW013_03,3,0.006796,1998,Other,Snake River Basin/high Desert,Dissected High Lava Plateau,5636,PPBV,42.650438,-116.558721,FSBI(score),30
1998SBOIB013,23360871,Cow Creek,17050108,Jordan,Southwest,ID17050108SW021_04,4,0.007477,1998,Other,Snake River Basin/high Desert,Owyhee Uplands and Canyons,4760,PPBV,43.090173,-116.971848,FSBI(score),55
1998SBOIB014,23389881,Lincoln Creek,17050113,South Fork Boise,Southwest,ID17050113SW027_02,1,0.051195,1998,Stress,Northern Rockies,Southern Forested Mountains,4911,Mountains,43.628591,-115.261081,FSBI(score),110
1998SBOIB015,23389881,Lincoln Creek,17050113,South Fork Boise,Southwest,ID17050113SW027_02,1,0.051195,1998,Stress,Northern Rockies,Southern Forested Mountains,5459,Mountains,43.649388,-115.287952,FSBI(score),120
1998SBOIB016,23387559,Little Cayuse Creek,17050113,South Fork Boise,Southwest,ID17050113SW027_02,1,0.092896,1998,Other,Northern Rockies,Southern Forested Mountains,5075,Mountains,43.64256,-115.232732,FSBI(score),155
1998SBOIB017,23378618,Montezuma Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW001_02b,2,0.08852,1998,Other,Northern Rockies,Southern Forested Mountains,5696,Mountains,43.796698,-115.118219,FSBI(score),105
1998SBOIB018,23378360,Trail Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW004_02,1,0.111021,1998,Other,Northern Rockies,Southern Forested Mountains,5873,Mountains,43.754666,-115.140913,FSBI(score),270
1998SBOIB019,23276196,Pony Creek,17050101,C. J. Strike Reservoir,Southwest,ID17050101SW024_02,1,0.069432,1998,Other,Snake River Basin/high Desert,Semiarid Foothills,4475,PPBV,43.29766,-115.559365,FSBI(score),0
1998SBOIB021,24193400,Warm Springs Creek,17050201,Brownlee Reservoir,Southwest,ID17050201SW007_02,2,0.025724,1998,Other,Snake River Basin/high Desert,Treasure Valley,2628,PPBV,44.351867,-117.073241,FSBI(score),5
1998SBOIB023,24184826,Cove Creek,17050124,Weiser,Southwest,ID17050124SW002_02,2,0.006839,1998,Other,Snake River Basin/high Desert,Unwooded Alkaline Foothills,2280,PPBV,44.218419,-116.747286,FSBI(score),0
1998SBOIB024,24183942,South Crane Creek,17050124,Weiser,Southwest,ID17050124SW005_04,4,0.002393,1998,Other,Snake River Basin/high Desert,Semiarid Foothills,3209,PPBV,44.334502,-116.552548,FSBI(score),0
1998SBOIB026,24193394,Warm Springs Creek,17050201,Brownlee Reservoir,Southwest,ID17050201SW007_03,3,0.004111,1998,Other,Snake River Basin/high Desert,Treasure Valley,2139,PPBV,44.289299,-117.053667,FSBI(score),5
1998SBOIB027,24184740,Mann Creek,17050124,Weiser,Southwest,ID17050124SW030_03,3,0.01058,1998,Other,Snake River Basin/high Desert,Unwooded Alkaline Foothills,2425,PPBV,44.322028,-116.865692,FSBI(score),40
1998SBOIB028,24184720,Mann Creek,17050124,Weiser,Southwest,ID17050124SW030_03,3,0.007338,1998,Other,Snake River Basin/high Desert,Treasure Valley,2165,PPBV,44.243334,-116.868223,FSBI(score),55
1998SBOIB029,24177603,Mud Creek,17050123,North Fork Payette,Southwest,ID17050123SW015_03,3,0.002409,1998,Stress,Blue Mountains,High Glacial Drift-Filled Valleys,4892,Mountains,44.789552,-116.12239,FSBI(score),20
1998SBOIB030,24177609,Mud Creek,17050123,North Fork Payette,Southwest,ID17050123SW015_02,2,0.000775,1998,Stress,Blue Mountains,High Glacial Drift-Filled Valleys,4915,Mountains,44.829112,-116.100257,FSBI(score),30
1998SBOIB031,24177791,Dead Horse Creek,17050123,North Fork Payette,Southwest,ID17050123SW017_02,2,0.107135,1998,Other,Northern Rockies,High Glacial Drift-Filled Valleys,5030,Mountains,44.980859,-116.075842,FSBI(score),150
1998SBOIB032,24178233,Gold Fork Canal,17050123,North Fork Payette,Southwest,ID17050123SW008_05,5,0.00001,1998,Other,Blue Mountains,High Glacial Drift-Filled Valleys,4895,Mountains,44.683584,-116.001908,FSBI(score),135
1998SBOIB033,24177699,Pearl Creek,17050123,North Fork Payette,Southwest,ID17050123SW018_02,2,0.111341,1998,Other,Northern Rockies,Southern Forested Mountains,5564,Mountains,45.09875,-116.034827,FSBI(score),205
1998SBOIB034,24177527,Fisher Creek,17050123,North Fork Payette,Southwest,ID17050123SW022_02,2,0.036543,1998,Other,Northern Rockies,Southern Forested Mountains,5033,Mountains,45.038358,-116.058699,FSBI(score),205
1998SBOIB035,24177531,Fisher Creek,17050123,North Fork Payette,Southwest,ID17050123SW022_02,2,0.000402,1998,Other,Northern Rockies,Southern Forested Mountains,6309,Mountains,45.080591,-116.098955,FSBI(score),155
1998SBOIB036,24166932,Big Willow Creek,17050122,Payette,Southwest,ID17050122SW017_04,4,0.00404,1998,Other,Snake River Basin/high Desert,Unwooded Alkaline Foothills,2283,PPBV,44.03517,-116.711839,FSBI(score),15
1998SBOIB037,23378554,Rough Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW001_02,4,0.25193,1998,Other,Northern Rockies,Southern Forested Mountains,3537,Mountains,43.713408,-115.627339,FSBI(score),65
1998SBOIB038,23378350,West Fork Lost Man Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW001_02,1,0.080823,1998,Other,Northern Rockies,Southern Forested Mountains,5282,Mountains,43.748444,-115.442104,FSBI(score),125
1998SBOIB039,23378264,Scotch Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW002_02,1,0.090627,1998,Other,Northern Rockies,Southern Forested Mountains,6762,Mountains,43.693794,-115.42249,FSBI(score),145
1998SBOIB040,23377910,Trail Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW010_03,3,0.037192,1998,Other,Northern Rockies,Southern Forested Mountains,4888,Mountains,43.908555,-115.400011,FSBI(score),260
1998SBOIB041,23378316,Trail Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW010_02,1,0.109764,1998,Other,Northern Rockies,Southern Forested Mountains,5374,Mountains,43.88503,-115.383389,FSBI(score),150
1998SBOIB042,23377902,Hunter Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW010_02,2,0.048941,1998,Other,Northern Rockies,Southern Forested Mountains,4918,Mountains,43.918414,-115.406557,FSBI(score),245
1998SBOIB043,23378376,Hunter Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW010_02,1,0.132272,1998,Other,Northern Rockies,Southern Forested Mountains,5535,Mountains,43.939938,-115.410541,FSBI(score),205
1998SBOIB044,23378288,Willow Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW014_02,1,0.019214,1998,Stress,Northern Rockies,Southern Forested Mountains,5797,Mountains,43.940057,-115.499439,FSBI(score),75
1998SBOIB045,23377812,Willow Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW014_02,2,0.040731,1998,Stress,Northern Rockies,Southern Forested Mountains,5417,Mountains,43.957939,-115.529939,FSBI(score),205
1998SBOIB046,23377644,Meadow Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW016_02,2,0.116157,1998,Stress,Northern Rockies,Southern Forested Mountains,5400,Mountains,43.77465,-115.650881,FSBI(score),120
1998SBOIB047,23387695,Deadman Creek,17050113,South Fork Boise,Southwest,ID17050113SW003_02,2,0.05574,1998,Other,Snake River Basin/high Desert,Foothill Shrublands-Grasslands,3645,PPBV,43.533465,-115.847099,FSBI(score),25
1998SBOIB048,23387701,Flat Creek,17050113,South Fork Boise,Southwest,ID17050113SW003_02,2,0.024749,1998,Other,Snake River Basin/high Desert,Foothill Shrublands-Grasslands,3566,PPBV,43.530533,-115.841874,FSBI(score),80
1998SBOIB052,23378062,China Fork,17050111,North and Middle Forks Boise,Southwest,ID17050111SW006_02,2,0.111813,1998,Other,Northern Rockies,Southern Forested Mountains,5131,Mountains,43.822595,-115.200554,FSBI(score),225
1998SBOIB053,23377628,Black Warrior Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW008_03,3,0.035853,1998,Other,Northern Rockies,Southern Forested Mountains,4649,Mountains,43.81926,-115.290148,FSBI(score),185
1998SBOIB054,23378152,Flint Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW005_02,1,0.223269,1998,Other,Northern Rockies,Southern Forested Mountains,5919,Mountains,43.768717,-115.11059,FSBI(score),240
1998SBOIB055,23377256,Grouse Creek,17050111,North and Middle Forks Boise,Southwest,ID17050111SW005_02,2,0.081368,1998,Reference,Northern Rockies,Southern Forested Mountains,5751,Mountains,43.766072,-115.122344,FSBI(score),250
