"","siteid","sitename","stream","source","lat","long","comid","siteclass","order","au","georef_ID305b_cycle","georef_notes","sed_tmdl","l4_code","l4_name","deq_region","blm_ecoregion","basin","huc4code","huc4name","source_sitetype","sampleid","year","sample_date","bankfull_width_m","bankfull_width_category","pct_fine","pct_fine_fraction","sample_FSBI","SMI2","SMI2_benchmark","BURP_sitescore","OE","OE_benchmark","OE_model","framework_fines_ref_benchmark","framework_FSBI_ref_benchmark","framework_SME75_benchmark","blm_fines_ref_benchmark","has_both"
"11","2017SPOCA015","2017SPOCA015","Indian Creek","DEQ BURP",42.094368,-111.244215,4471117,"PPBV","1","ID16010201BR018_02b",2022,NA,"N","18d","Foothill Shrublands and Low Mountains","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","","2017SPOCA015","2017",NA,1.7,"< 10 m",70.86,"< 2.5 mm",0,54,54,1.5,NA,NA,NA,39.5,20,72,NA,"Y"
"12","2022SPOCA037","2022SPOCA037","Indian Creek","DEQ BURP",42.095549,-111.240041,4471117,"PPBV","1","ID16010201BR018_02b",2022,NA,"N","18d","Foothill Shrublands and Low Mountains","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","","2022SPOCA037","2022",NA,2.6,"< 10 m",54.43,"< 2.5 mm",NA,NA,54,NA,NA,NA,NA,39.5,20,72,NA,"N"
"13","2003SPOCA044","2003SPOCA044","Little Beaver Creek","DEQ BURP",42.436988,-111.19068,4469945,"PPBV","1","ID16010201BR020_02a",2022,NA,"N","18d","Semiarid Bear Hills","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","Other","2003SPOCA044","2003",NA,1.16666666666667,"< 10 m",72.35,"< 2.5 mm",10,56,54,2,NA,NA,NA,39.5,20,72,NA,"Y"
"14","1997SPOCA064","1997SPOCA064","Indian Creek","DEQ BURP",42.094653,-111.243144,4471117,"PPBV","1","ID16010201BR018_02b",2022,NA,"N","18d","Semiarid Bear Hills","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","","1997SPOCA064","1997",NA,1.88333333333333,"< 10 m",44.85,"< 2.5 mm",NA,NA,54,NA,NA,NA,NA,39.5,20,72,NA,"N"
"15","2017SPOCA054","2017SPOCA054","Telephone Draw","DEQ BURP",42.339344,-111.165668,4470325,"PPBV","1","ID16010201BR020_02c",2022,NA,"N","18d","Foothill Shrublands and Low Mountains","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","","2017SPOCA054","2017",NA,1.33333333333333,"< 10 m",58.02,"< 2.5 mm",45,54,54,2.5,NA,NA,NA,39.5,20,72,NA,"Y"
"16","2003SPOCA042","2003SPOCA042","Pegram Creek","DEQ BURP",42.06688,-111.134293,7898081,"PPBV","3","ID16010102BR002_03",2022,NA,"N","18d","Semiarid Bear Hills","POC","EasternXericBasin","Bear River",16010102,"Central Bear","Stress","2003SPOCA042","2003",NA,2.1,"< 10 m",90.85,"< 2.5 mm",0,50,54,1,NA,NA,NA,23.6,20,68,NA,"Y"
"17","2004SPOCA078","2004SPOCA078","Home Canyon","DEQ BURP",42.347688,-111.217878,4470337,"PPBV","2","ID16010201BR020_02d",2022,NA,"N","18d","Semiarid Bear Hills","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","Stress","2004SPOCA078","2004",NA,1.7,"< 10 m",34.3,"< 2.5 mm",NA,NA,54,NA,NA,NA,NA,28.3,20,90,NA,"N"
"18","1995SPOCA030","1995SPOCA030","Snowslide Canyon","DEQ BURP",42.393016,-111.168934,4470097,"PPBV","2","ID16010201BR020_02f",2022,NA,"Y","18d","Semiarid Bear Hills","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","","1995SPOCA030","1995",NA,3.66666666666667,"< 10 m",35.03,"< 2.5 mm",NA,NA,54,NA,NA,NA,NA,28.3,20,90,NA,"N"
"19","1997SPOCA038","1997SPOCA038","Saint Charles Creek","DEQ BURP",42.125695,-111.387512,4471059,"PPBV","3","ID16010201BR016_03",2022,NA,"N","18c","Wet Valleys","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","","1997SPOCA038","1997",NA,5.6,"< 10 m",16.67,"< 2.5 mm",NA,NA,54,NA,NA,NA,NA,23.6,20,68,NA,"N"
"20","2006SPOCA021","2006SPOCA021","Preuss Creek","DEQ BURP",42.402197,-111.085378,7897555,"PPBV","2","ID16010102BR006_02",2022,NA,"Y","18d","Semiarid Bear Hills","POC","EasternXericBasin","Bear River",16010102,"Central Bear","Other","2006SPOCA021","2006",NA,4.06666666666667,"< 10 m",63.33,"< 2.5 mm",NA,NA,54,NA,NA,NA,NA,28.3,20,90,NA,"N"
"21","2010SDEQA0231","2010SDEQA0231","Preuss Creek","DEQ BURP",42.418308,-111.103447,7897539,"PPBV","2","ID16010102BR006_02b",2022,NA,"Y","18d","Semiarid Bear Hills","DEQ","EasternXericBasin","Bear River",16010102,"Central Bear","","2010SDEQA0231","2010",NA,4.2,"< 10 m",43.29,"< 2.5 mm",30,56,54,1.67,NA,NA,NA,28.3,20,90,NA,"Y"
"22","1998SPOCA069","1998SPOCA069","Sheep Creek","DEQ BURP",42.24735,-111.137557,7897739,"PPBV","3","ID16010102BR008_02",2022,NA,"Y","18d","Semiarid Bear Hills","POC","EasternXericBasin","Bear River",16010102,"Central Bear","Stress","1998SPOCA069","1998",NA,1.05,"< 10 m",33.97,"< 2.5 mm",0,48,54,1,NA,NA,NA,23.6,20,68,NA,"Y"
"23","2015SPOCA030","2015SPOCA030","Little Creek","DEQ BURP",42.114035,-111.367392,4471077,"PPBV","3","ID16010201BR016_03a",2022,NA,"N","18c","Sub-Irrigated High Valleys","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","","2015SPOCA030","2015",NA,4.4,"< 10 m",31.47,"< 2.5 mm",5,60,54,2.33,NA,NA,NA,23.6,20,68,NA,"Y"
"24","2017SPOCA012","2017SPOCA012","Whiskey Creek","DEQ BURP",42.429874,-111.181918,4469959,"PPBV","2","ID16010201BR020_02b",2022,NA,"N","18d","Foothill Shrublands and Low Mountains","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","","2017SPOCA012","2017",NA,0.85,"< 10 m",61.54,"< 2.5 mm",0,53,54,1.33,NA,NA,NA,28.3,20,90,NA,"Y"
"25","2017SPOCA022","2017SPOCA022","Sheep Creek","DEQ BURP",42.245529,-111.13864,7897739,"PPBV","3","ID16010102BR008_02",2022,NA,"Y","18d","Foothill Shrublands and Low Mountains","POC","EasternXericBasin","Bear River",16010102,"Central Bear","","2017SPOCA022","2017",NA,2.03333333333333,"< 10 m",74.73,"< 2.5 mm",0,16,54,1,NA,NA,NA,23.6,20,68,NA,"Y"
"26","2006SPOCA040","2006SPOCA040","Thomas Fork","DEQ BURP",42.36846,-111.055965,7897631,"PPBV","4","ID16010102BR003_04",2022,NA,"Y","18c","Wet Valleys","POC","EasternXericBasin","Bear River",16010102,"Central Bear","Other","2006SPOCA040","2006",NA,7.63333333333333,"< 10 m",32.81,"< 2.5 mm",45,74,54,2.5,NA,NA,NA,18.2,20,53,NA,"Y"
"27","1998SPOCA070","1998SPOCA070","Little Beaver Creek","DEQ BURP",42.43603,-111.191529,4469945,"PPBV","1","ID16010201BR020_02a",2022,NA,"N","18d","Semiarid Bear Hills","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","Reference","1998SPOCA070","1998",NA,1,"< 10 m",71.61,"< 2.5 mm",20,70,54,2.5,NA,NA,NA,39.5,20,72,NA,"Y"
"28","2003SPOCA036","2003SPOCA036","Bennington Canyon","DEQ BURP",42.385238,-111.277015,4470183,"PPBV","2","ID16010201BR002_02",2022,NA,"N","18c","Partly Forested Mountains","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","Other","2003SPOCA036","2003",NA,2.3,"< 10 m",37.21,"< 2.5 mm",40,54,54,2.5,NA,NA,NA,28.3,20,90,NA,"Y"
"29","1999SPOCA039","1999SPOCA039","West Fork Sheep Creek","DEQ BURP",42.256465,-111.141594,7898911,"PPBV","2","ID16010102BR008_02",2022,NA,"Y","18d","Semiarid Bear Hills","POC","EasternXericBasin","Bear River",16010102,"Central Bear","Other","1999SPOCA039","1999",NA,2.06666666666667,"< 10 m",56.42,"< 2.5 mm",15,50,54,1,NA,NA,NA,28.3,20,90,NA,"Y"
"30","PO-TR-1465","PO-TR-1465","INDIAN CREEK","BLM",42.097987,-111.228,4471117,"PPBV","1","ID16010201BR018_02b",2022,NA,"N","18d","Foothill Shrublands and Low Mountains","PRO","EasternXericBasin","Bear River",16010201,"Bear Lake",NA,"172453","2019",2019-08-11,1.33,"< 10 m",17.6,"< 2 mm",0,NA,54,NA,0.4417805,0.63,"ColumbiaRiverBasin_PIBO",39.5,20,72,NA,"Y"
"31","2004SPOCA043","2004SPOCA043","Montpelier Creek","DEQ BURP",42.304562,-111.333228,4470463,"PPBV","3","ID16010201BR020_03",2022,NA,"N","18c","Wet Valleys","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","Other","2004SPOCA043","2004",NA,2.96666666666667,"< 10 m",100,"< 2.5 mm",NA,NA,54,NA,NA,NA,NA,23.6,20,68,NA,"N"
"32","1998SPOCA062","1998SPOCA062","Home Canyon","DEQ BURP",42.347612,-111.21793,4470337,"PPBV","2","ID16010201BR020_02d",2022,NA,"N","18d","Semiarid Bear Hills","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","Other","1998SPOCA062","1998",NA,1.95,"< 10 m",7.69,"< 2.5 mm",55,80,54,2.5,NA,NA,NA,28.3,20,90,NA,"Y"
"33","2022SPOCA014","2022SPOCA014","Snowslide Canyon","DEQ BURP",42.393514,-111.16756,4470097,"PPBV","2","ID16010201BR020_02f",2022,NA,"Y","18d","Foothill Shrublands and Low Mountains","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","","2022SPOCA014","2022",NA,2.23333333333333,"< 10 m",3.55,"< 2.5 mm",NA,NA,54,NA,NA,NA,NA,28.3,20,90,NA,"N"
"34","2011SPOCA009","2011SPOCA009","Twin Spring Creek","DEQ BURP",42.31924,-111.14683,4470407,"PPBV","1","ID16010201BR020_02",2022,NA,"N","18d","Foothill Shrublands and Low Mountains","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","","2011SPOCA009","2011",NA,3.86666666666667,"< 10 m",27.61,"< 2.5 mm",75,65,54,2,NA,NA,NA,39.5,20,72,NA,"Y"
"35","2001SPOCA034","2001SPOCA034","Ovid Creek","DEQ BURP",42.293315,-111.413025,4470545,"PPBV","4","ID16010201BR009_04",2022,NA,"Y","18c","Wet Valleys","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","Other","2001SPOCA034","2001",NA,7.83333333333333,"< 10 m",86.42,"< 2.5 mm",0,29,54,1,NA,NA,NA,18.2,20,53,NA,"Y"
"36","2013SPOCA029","2013SPOCA029","Snowslide Canyon ","DEQ BURP",42.393015,-111.168194,4470097,"PPBV","2","ID16010201BR020_02f",2022,NA,"Y","18d","Foothill Shrublands and Low Mountains","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","","2013SPOCA029","2013",NA,1.9,"< 10 m",33.53,"< 2.5 mm",50,66,54,2,NA,NA,NA,28.3,20,90,NA,"Y"
"37","1995SPOCA031","1995SPOCA031","Preuss Creek","DEQ BURP",42.406055,-111.08952,7897555,"PPBV","2","ID16010102BR006_02",2022,NA,"Y","18d","Semiarid Bear Hills","POC","EasternXericBasin","Bear River",16010102,"Central Bear","","1995SPOCA031","1995",NA,5.73333333333333,"< 10 m",70.32,"< 2.5 mm",NA,NA,54,NA,NA,NA,NA,28.3,20,90,NA,"N"
"38","2019SPOCA018","2019SPOCA018","Telephone Draw","DEQ BURP",42.348764,-111.144498,4470325,"PPBV","1","ID16010201BR020_02c",2022,NA,"N","18d","Foothill Shrublands and Low Mountains","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","","2019SPOCA018","2019",NA,0.7,"< 10 m",53.13,"< 2.5 mm",30,42,54,1,NA,NA,NA,39.5,20,72,NA,"Y"
"39","2003SPOCA043","2003SPOCA043","Whiskey Creek","DEQ BURP",42.429959,-111.18204,4469959,"PPBV","2","ID16010201BR020_02b",2022,NA,"N","18d","Semiarid Bear Hills","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","Other","2003SPOCA043","2003",NA,1.26666666666667,"< 10 m",92.86,"< 2.5 mm",25,33,54,1,NA,NA,NA,28.3,20,90,NA,"Y"
"40","2004SPOCA076","2004SPOCA076","Telephone Draw","DEQ BURP",42.341021,-111.163639,4470325,"PPBV","1","ID16010201BR020_02c",2022,NA,"N","18d","Semiarid Bear Hills","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","Other","2004SPOCA076","2004",NA,1.23333333333333,"< 10 m",67.8,"< 2.5 mm",NA,NA,54,NA,NA,NA,NA,39.5,20,72,NA,"N"
"41","2013SPOCA035","2013SPOCA035","Home Canyon ","DEQ BURP",42.33769,-111.22318,4470337,"PPBV","2","ID16010201BR020_02d",2022,NA,"N","18d","Foothill Shrublands and Low Mountains","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","","2013SPOCA035","2013",NA,2.1,"< 10 m",18.47,"< 2.5 mm",60,68,54,2.33,NA,NA,NA,28.3,20,90,NA,"Y"
"42","2017SPOCA023","2017SPOCA023","Dry Creek","DEQ BURP",42.421873,-111.066956,7897537,"PPBV","2","ID16010102BR005_02a",2022,NA,"Y","18d","Foothill Shrublands and Low Mountains","POC","EasternXericBasin","Bear River",16010102,"Central Bear","","2017SPOCA023","2017",NA,3.03333333333333,"< 10 m",28.04,"< 2.5 mm",40,68,54,2.5,NA,NA,NA,28.3,20,90,NA,"Y"
"43","1998SPOCA060","1998SPOCA060","Whiskey Creek","DEQ BURP",42.428907,-111.179401,4469959,"PPBV","2","ID16010201BR020_02b",2022,NA,"N","18d","Semiarid Bear Hills","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","Other","1998SPOCA060","1998",NA,1.11666666666667,"< 10 m",28.48,"< 2.5 mm",5,37,54,1.5,NA,NA,NA,28.3,20,90,NA,"Y"
"44","2014SPOCA021","2014SPOCA021","Montpelier Creek","DEQ BURP",42.342783,-111.176434,4470299,"PPBV","3","ID16010201BR020_03a",2022,NA,"N","18d","Foothill Shrublands and Low Mountains","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","","2014SPOCA021","2014",NA,5.86666666666667,"< 10 m",34.7,"< 2.5 mm",25,41,54,1.33,NA,NA,NA,23.6,20,68,NA,"Y"
"45","1997SPOCA065","1997SPOCA065","Pegram Creek","DEQ BURP",42.066898,-111.134401,7898081,"PPBV","3","ID16010102BR002_03",2022,NA,"N","18d","Semiarid Bear Hills","POC","EasternXericBasin","Bear River",16010102,"Central Bear","","1997SPOCA065","1997",NA,1.23333333333333,"< 10 m",79.27,"< 2.5 mm",NA,NA,54,NA,NA,NA,NA,23.6,20,68,NA,"N"
"46","2006SPOCA020","2006SPOCA020","Dry Creek","DEQ BURP",42.421093,-111.065064,7897537,"PPBV","2","ID16010102BR005_02a",2022,NA,"Y","18d","Semiarid Bear Hills","POC","EasternXericBasin","Bear River",16010102,"Central Bear","Other","2006SPOCA020","2006",NA,3.56666666666667,"< 10 m",28.06,"< 2.5 mm",NA,NA,54,NA,NA,NA,NA,28.3,20,90,NA,"N"
"47","2015SPOCA015","2015SPOCA015","Montpelier Creek","DEQ BURP",42.337464,-111.21411,4470335,"PPBV","3","ID16010201BR020_03a",2022,NA,"N","18d","Foothill Shrublands and Low Mountains","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","","2015SPOCA015","2015",NA,6.26666666666667,"< 10 m",16.4,"< 2.5 mm",15,64,54,2.33,NA,NA,NA,23.6,20,68,NA,"Y"
"48","2001SPOCA033","2001SPOCA033","Snowslide Canyon","DEQ BURP",42.393642,-111.163694,4470097,"PPBV","2","ID16010201BR020_02f",2022,NA,"Y","18d","Semiarid Bear Hills","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","Other","2001SPOCA033","2001",NA,1.48333333333333,"< 10 m",40.49,"< 2.5 mm",35,67,54,2.5,NA,NA,NA,28.3,20,90,NA,"Y"
"49","2017SPOCA053","2017SPOCA053","Snowslide Canyon","DEQ BURP",42.392674,-111.170475,4470097,"PPBV","2","ID16010201BR020_02f",2022,NA,"Y","18d","Foothill Shrublands and Low Mountains","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","","2017SPOCA053","2017",NA,2.93333333333333,"< 10 m",20.31,"< 2.5 mm",45,61,54,2,NA,NA,NA,28.3,20,90,NA,"Y"
"50","2018SPOCA004","2018SPOCA004","Montpelier Creek","DEQ BURP",42.3932,-111.17304,4470099,"PPBV","3","ID16010201BR020_03b",2022,NA,"N","18d","Foothill Shrublands and Low Mountains","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","","2018SPOCA004","2018",NA,4.9,"< 10 m",21.69,"< 2.5 mm",115,77,54,2,NA,NA,NA,23.6,20,68,NA,"Y"
"51","1998SPOCA061","1998SPOCA061","Telephone Draw","DEQ BURP",42.344679,-111.157413,4470325,"PPBV","1","ID16010201BR020_02c",2022,NA,"N","18d","Semiarid Bear Hills","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","Stress","1998SPOCA061","1998",NA,1.25,"< 10 m",19.14,"< 2.5 mm",80,61,54,1.5,NA,NA,NA,39.5,20,72,NA,"Y"
"52","2001SPOCA037","2001SPOCA037","Thomas Fork","DEQ BURP",42.37007,-111.057047,7897631,"PPBV","4","ID16010102BR003_04",2022,NA,"Y","18c","Wet Valleys","POC","EasternXericBasin","Bear River",16010102,"Central Bear","Stress","2001SPOCA037","2001",NA,8.85,"< 10 m",10.06,"< 2.5 mm",50,58,54,1.5,NA,NA,NA,18.2,20,53,NA,"Y"
"53","1995SPOCA034","1995SPOCA034","Thomas Fork","DEQ BURP",42.370028,-111.057183,7897631,"PPBV","4","ID16010102BR003_04",2022,NA,"Y","18c","Wet Valleys","POC","EasternXericBasin","Bear River",16010102,"Central Bear","","1995SPOCA034","1995",NA,12.1333333333333,">= 10 m",30.06,"< 2.5 mm",NA,NA,54,NA,NA,NA,NA,18.2,20,53,NA,"N"
"54","2014SPOCA034","2014SPOCA034","UNT to Blackfoot River ","DEQ BURP",42.795852,-111.294667,24481397,"Foothills","1","ID17040207SK015_02",2022,NA,"N","17o","Partly Forested Mountains","POC","NorthernRockies","Upper Snake",17040207,"Blackfoot","","2014SPOCA034","2014",NA,1.2,"< 10 m",41.82,"< 2.5 mm",90,61,53,2,NA,NA,NA,39.5,80,52,29,"Y"
"55","1997SIDFL060","1997SIDFL060","Granite Creek","DEQ BURP",44.008358,-111.144626,23142539,"Foothills","1","ID17040203SK007_02",2022,NA,"N","17j","Yellowstone Plateau","IDF","NorthernRockies","Upper Snake",17040203,"Lower Henrys","","1997SIDFL060","1997",NA,1.7,"< 10 m",51.81,"< 2.5 mm",NA,NA,53,NA,NA,NA,NA,39.5,80,52,29,"N"
"56","1999SPOCA049","1999SPOCA049","South Sulphur Canyon","DEQ BURP",42.634654,-111.472297,4468145,"Foothills","1","ID16010201BR002_02a",2022,NA,"Y","17o","Partly Forested Mountains","POC","NorthernRockies","Bear River",16010201,"Bear Lake","Other","1999SPOCA049","1999",NA,1.66666666666667,"< 10 m",67.05,"< 2.5 mm",40,57,53,2,NA,NA,NA,39.5,80,52,29,"Y"
"57","510","094-19-K","Trib of Burnt","USFS-PIBO",44.174211,-113.651388,23499931,"Foothills","1","ID17060202SL024_02",2022,NA,"N","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Salmon",17060202,"Pahsimeroi","Managed","6599","2012",2012-08-04,1.36,"< 10 m",33.8,"< 2 mm",NA,NA,53,NA,NA,0.78,"USFS-PIBO",39.5,80,52,29,"N"
"58","2006SPOCA077","2006SPOCA077","Bear Canyon Creek","DEQ BURP",42.726047,-111.209755,24481553,"Foothills","1","ID17040207SK016_02c",2022,NA,"N","17o","Partly Forested Mountains","POC","NorthernRockies","Upper Snake",17040207,"Blackfoot","Other","2006SPOCA077","2006",NA,2.23333333333333,"< 10 m",77.16,"< 2.5 mm",70,39,53,1.5,NA,NA,NA,39.5,80,52,29,"Y"
"59","2018SIDFA015","2018SIDFA015","East Threemile Creek","DEQ BURP",44.3858,-112.11189,23224172,"Foothills","1","ID17040214SK017_02",2022,NA,"N","17ab","Dry Gneissic-Schistose-Volcanic Hills","IDF","NorthernRockies","Upper Snake",17040214,"Beaver-Camas","","2018SIDFA015","2018",NA,2.1,"< 10 m",16.77,"< 2.5 mm",100,40,53,2,NA,NA,NA,39.5,80,52,29,"Y"
"60","481","092-03-K","S.F. Yearian","USFS-PIBO",44.865979,-113.531279,23513676,"Foothills","1","ID17060204SL055b_02",2022,NA,"N","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Salmon",17060204,"Lemhi","Managed","8007","2014",2014-07-07,3.1,"< 10 m",14.77,"< 2 mm",NA,NA,53,NA,NA,0.78,"USFS-PIBO",39.5,80,52,29,"N"
"61","349","070-14-K","E.F. John Day","USFS-PIBO",45.575732,-116.217426,23562025,"Foothills","1","ID17060209SL033_02",2022,NA,"N","11g","Canyons and Dissected Uplands","LRO","NorthernRockies","Salmon",17060209,"Lower Salmon","Managed","4898","2009",2009-08-06,2.79,"< 10 m",6.73,"< 2 mm",NA,NA,53,NA,NA,0.78,"USFS-PIBO",39.5,80,52,29,"N"
"62","2249","014-15-I","Kavanaugh","USFS-PIBO",48.278087,-116.939388,22990065,"Foothills","1","ID17010215PN030_02",2022,NA,"N","15u","Inland Maritime Foothills and Valleys","CRO","NorthernRockies","Panhandle",17010215,"Priest","Managed","3624","2007",2007-06-18,2.33,"< 10 m",61.9,"< 2 mm",15,NA,53,NA,0.766,0.78,"USFS-PIBO",39.5,80,52,29,"Y"
"63","2001SPOCA028","2001SPOCA028","Maybe Creek","DEQ BURP",42.746787,-111.296986,24481521,"Foothills","1","ID17040207SK014_02",2022,NA,"Y","17o","Partly Forested Mountains","POC","NorthernRockies","Upper Snake",17040207,"Blackfoot","Other","2001SPOCA028","2001",NA,2.51666666666667,"< 10 m",66.46,"< 2.5 mm",75,73,53,2.5,NA,NA,NA,39.5,80,52,29,"Y"
"64","1997SLEWC006","1997SLEWC006","Kessler Creek","DEQ BURP",45.460197,-116.413444,23560837,"Foothills","1","ID17060209SL017_02",2022,NA,"N","11e","Wallowas/Seven Devils Mountains","LEW","NorthernRockies","Salmon",17060209,"Lower Salmon","","1997SLEWC006","1997",NA,2.1,"< 10 m",10.24,"< 2.5 mm",NA,NA,53,NA,NA,NA,NA,39.5,80,52,29,"N"
"65","2017SPOCA033","2017SPOCA033","Flat Valley Creek","DEQ BURP",42.887124,-111.227218,23134195,"Foothills","1","ID17040105SK006_02a",2022,NA,"N","17o","Partly Forested Mountains","POC","NorthernRockies","Upper Snake",17040105,"Salt","","2017SPOCA033","2017",NA,1.93333333333333,"< 10 m",27.47,"< 2.5 mm",55,46,53,2,NA,NA,NA,39.5,80,52,29,"Y"
