"","siteid","sitename","stream","source","lat","long","comid","au","order","georef_ID305b_cycle","georef_notes","sed_tmdl","siteclass","l4_code","l4_name","deq_region","blm_ecoregion","basin","huc4code","huc4name","source_sitetype","AIM_OE_model","AIM_Evaluation_ID"
"11","BY-LS-1032","BY-LS-1032","Dry Creek","BLM",42.35533767,-114.1991258,24491320,"ID17040212SK022_03","3","2022",NA,"Y","PPBV","80b","Semiarid Hills and Low Mountains","TRO","NorthernXericBasin","Upper Snake",17040212,"Upper Snake-Rock",NA,"ColumbiaRiverBasin_PIBO","BY-LS-1032_2021-07-08"
"12","BY-LS-1036","BY-LS-1036","McMullen Creek","BLM",42.38255601,-114.3755453,24491084,"ID17040212SK015_03","3","2022",NA,"Y","PPBV","80a","Dissected High Lava Plateau","TRO","NorthernXericBasin","Upper Snake",17040212,"Upper Snake-Rock",NA,NA,"BY-LS-1036_2022-07-24"
"13","BY-RV-1007","BY-RV-1007",NA,"BLM",42.07497481,-113.9309004,23184863,"ID17040211SK005_05","5","2022",NA,"Y","PPBV","80b","Semiarid Hills and Low Mountains","TRO","NorthernXericBasin","Upper Snake",17040211,"Goose",NA,"ColumbiaRiverBasin_PIBO","BY-RV-1007_2021-06-23"
"14","BY-RV-1017","BY-RV-1017","Shoshone Creek","BLM",42.01754065,-114.5096142,23196188,"ID17040213SK011_04","5","2022",NA,"Y","PPBV","80a","Dissected High Lava Plateau","TRO","NorthernXericBasin","Upper Snake",17040213,"Salmon Falls",NA,"ColumbiaRiverBasin_PIBO","BY-RV-1017_2021-06-13"
"15","BY-RV-1031","BY-RV-1031","Shoshone Creek","BLM",42.0136915,-114.4556534,23196202,"ID17040213SK011_04","5","2022",NA,"Y","PPBV","80a","Dissected High Lava Plateau","TRO","NorthernXericBasin","Upper Snake",17040213,"Salmon Falls",NA,NA,"BY-RV-1031_2022-08-08"
"16","BY-SS-1000","BY-SS-1000","Dry Creek","BLM",42.49404587,-114.1507377,NA,NA,"1","2022","no stream line in nhd based on aerial","N","PPBV","12i","Magic Valley","TRO","NorthernXericBasin","Upper Snake",17040212,"Upper Snake-Rock",NA,"ColumbiaRiverBasin_PIBO","BY-SS-1000_2021-06-27"
"17","BY-SS-1003","BY-SS-1003",NA,"BLM",42.00648319,-113.891052,23188173,"ID17040211SK009_02","1","2022",NA,"N","PPBV","80b","Semiarid Hills and Low Mountains","TRO","NorthernXericBasin","Upper Snake",17040211,"Goose",NA,"ColumbiaRiverBasin_PIBO","BY-SS-1003_2021-06-25"
"18","BY-SS-1004","BY-SS-1004","Fifth Fork Rock Creek","BLM",42.33879668,-114.3060081,24491132,"ID17040212SK017_02","2","2022",NA,"N","PPBV","80a","Dissected High Lava Plateau","TRO","NorthernXericBasin","Upper Snake",17040212,"Upper Snake-Rock",NA,"ColumbiaRiverBasin_PIBO","BY-SS-1004_2021-07-07"
"19","BY-SS-1010","BY-SS-1010","Cold Creek","BLM",42.09072538,-113.8653235,23185059,"ID17040211SK011_02","2","2022",NA,"N","PPBV","80b","Semiarid Hills and Low Mountains","TRO","NorthernXericBasin","Upper Snake",17040211,"Goose",NA,"ColumbiaRiverBasin_PIBO","BY-SS-1010_2021-06-26"
"20","BY-SS-1019","BY-SS-1019",NA,"BLM",42.00487667,-113.8887282,23188173,"ID17040211SK009_02","1","2022",NA,"N","PPBV","80b","Semiarid Hills and Low Mountains","TRO","NorthernXericBasin","Upper Snake",17040211,"Goose",NA,NA,"BY-SS-1019_2021-06-24"
"21","BY-SS-1022","BY-SS-1022",NA,"BLM",42.08278425,-113.9278075,23187021,"ID17040211SK005_02","1","2022",NA,"N","PPBV","80b","Semiarid Hills and Low Mountains","TRO","NorthernXericBasin","Upper Snake",17040211,"Goose",NA,"ColumbiaRiverBasin_PIBO","BY-SS-1022_2021-06-24"
"22","BY-SS-1026","BY-SS-1026",NA,"BLM",42.10655943,-113.8611821,23187007,"ID17040211SK011_02","1","2022",NA,"N","PPBV","80b","Semiarid Hills and Low Mountains","TRO","NorthernXericBasin","Upper Snake",17040211,"Goose",NA,NA,"BY-SS-1026_2022-07-10"
"23","BY-SS-1038","BY-SS-1038",NA,"BLM",42.0965444,-113.8413377,23187011,"ID17040211SK011_02","1","2022",NA,"N","PPBV","80b","Semiarid Hills and Low Mountains","TRO","NorthernXericBasin","Upper Snake",17040211,"Goose",NA,"ColumbiaRiverBasin_PIBO","BY-SS-1038_2021-09-01"
"24","BY-SS-1042","BY-SS-1042",NA,"BLM",42.03892692,-113.8710102,23186893,"ID17040211SK010_02","1","2022",NA,"N","PPBV","80b","Semiarid Hills and Low Mountains","TRO","NorthernXericBasin","Upper Snake",17040211,"Goose",NA,"ColumbiaRiverBasin_PIBO","BY-SS-1042_2021-07-19"
"25","BY-SS-1056","BY-SS-1056","Howell Creek","BLM",42.35292752,-113.5526401,23164369,"ID17040209SK003_02","2","2022",NA,"N","PPBV","80b","Semiarid Hills and Low Mountains","TRO","NorthernXericBasin","Upper Snake",17040209,"Lake Walcott",NA,"ColumbiaRiverBasin_PIBO","BY-SS-1056_2021-09-02"
"26","BY-SS-1058","BY-SS-1058","Emery Creek","BLM",42.05518869,-113.901489,23186881,"ID17040211SK005_02","1","2022",NA,"N","PPBV","80b","Semiarid Hills and Low Mountains","TRO","NorthernXericBasin","Upper Snake",17040211,"Goose",NA,NA,"BY-SS-1058_2022-07-06"
"27","BY-SS-1070","BY-SS-1070",NA,"BLM",42.09650237,-113.8522574,23187011,"ID17040211SK011_02","1","2022",NA,"N","PPBV","80b","Semiarid Hills and Low Mountains","TRO","NorthernXericBasin","Upper Snake",17040211,"Goose",NA,NA,"BY-SS-1070_2022-07-07"
"28","BY-SS-1074","BY-SS-1074",NA,"BLM",42.07564374,-113.9045979,23186863,"ID17040211SK005_02","2","2022",NA,"N","PPBV","80b","Semiarid Hills and Low Mountains","TRO","NorthernXericBasin","Upper Snake",17040211,"Goose",NA,NA,"BY-SS-1074_2022-07-05"
"29","BY-SS-1078","BY-SS-1078","Cold Creek","BLM",42.10365208,-113.8670628,23185059,"ID17040211SK011_02","2","2022",NA,"N","PPBV","80b","Semiarid Hills and Low Mountains","TRO","NorthernXericBasin","Upper Snake",17040211,"Goose",NA,NA,"BY-SS-1078_2022-07-08"
"30","BY-SS-1082","BY-SS-1082","Emery Creek","BLM",42.04907009,-113.8781388,23186881,"ID17040211SK005_02","1","2022",NA,"N","PPBV","80b","Semiarid Hills and Low Mountains","TRO","NorthernXericBasin","Upper Snake",17040211,"Goose",NA,NA,"BY-SS-1082_2022-07-09"
"31","BY-SS-1083","BY-SS-1083",NA,"BLM",42.16491754,-113.7949768,23186971,"ID17040211SK012_03","3","2022",NA,"N","PPBV","80b","Semiarid Hills and Low Mountains","TRO","NorthernXericBasin","Upper Snake",17040211,"Goose",NA,NA,"BY-SS-1083_2022-07-25"
"32","BY-SS-1088","BY-SS-1088","West Fork Dry Creek","BLM",42.33994951,-114.2214101,24491650,"ID17040212SK023_02","2","2022",NA,"Y","PPBV","80b","Semiarid Hills and Low Mountains","TRO","NorthernXericBasin","Upper Snake",17040212,"Upper Snake-Rock",NA,NA,"BY-SS-1088_2022-07-23"
"33","BY-SS-1094","BY-SS-1094","Cold Creek","BLM",42.07299911,-113.8494205,23185061,"ID17040211SK011_02","1","2022",NA,"N","PPBV","80b","Semiarid Hills and Low Mountains","TRO","NorthernXericBasin","Upper Snake",17040211,"Goose",NA,NA,"BY-SS-1094_2022-07-10"
"34","BY-SS-1103","BY-SS-1103",NA,"BLM",42.00916255,-114.4594931,23198306,"ID17040213SK011_02","1","2022",NA,"N","PPBV","80a","Dissected High Lava Plateau","TRO","NorthernXericBasin","Upper Snake",17040213,"Salmon Falls",NA,NA,"BY-SS-1103_2022-08-02"
"35","BY-SS-1104","BY-SS-1104","Cold Spring Creek","BLM",42.33312836,-114.1458986,24493640,"ID17040212SK022_02","1","2022",NA,"N","PPBV","80b","Semiarid Hills and Low Mountains","TRO","NorthernXericBasin","Upper Snake",17040212,"Upper Snake-Rock",NA,NA,"BY-SS-1104_2022-07-11"
"36","BY-SS-1126","BY-SS-1126","Cold Creek","BLM",42.08237264,-113.8544958,23185059,"ID17040211SK011_02","2","2022",NA,"N","PPBV","80b","Semiarid Hills and Low Mountains","TRO","NorthernXericBasin","Upper Snake",17040211,"Goose",NA,NA,"BY-SS-1126_2022-08-07"
"37","BY-SS-1128","BY-SS-1128","Parks Creek","BLM",42.22194708,-113.4611658,23174245,"ID17040210SK003_02","1","2022",NA,"N","PPBV","80b","Semiarid Hills and Low Mountains","TRO","NorthernXericBasin","Upper Snake",17040210,"Raft",NA,NA,"BY-SS-1128_2022-08-21"
"38","BY-SS-1130","BY-SS-1130","Emery Creek","BLM",42.05972838,-113.9190357,23187817,"ID17040211SK005_02","2","2022",NA,"N","PPBV","80b","Semiarid Hills and Low Mountains","TRO","NorthernXericBasin","Upper Snake",17040211,"Goose",NA,NA,"BY-SS-1130_2022-08-07"
"39","BY-TR-15985","BY-TR-15985","Raft River","BLM",42.06721467,-113.4488354,23174319,"ID17040210SK010_04","4","2022",NA,"Y","PPBV","80i","Sagebrush Steppe Valleys","TRO","NorthernXericBasin","Upper Snake",17040210,"Raft","sediment degraded","ColumbiaRiverBasin_PIBO","BY-TR-15985_2021-09-03"
"40","BY-TR-16452","BY-TR-16452","Big Creek","BLM",42.04468459,-114.4350623,23196236,"ID17040213SK014_03","3","2022",NA,"Y","PPBV","80a","Dissected High Lava Plateau","TRO","NorthernXericBasin","Upper Snake",17040213,"Salmon Falls",NA,"ColumbiaRiverBasin_PIBO","BY-TR-16452_2021-09-02"
"41","CF-LS-15578","CF-LS-15578","BIG LAKE CREEK","BLM",44.156348,-114.386038,23479535,"ID17060201SL104_03","3","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Salmon",17060201,"Upper Salmon",NA,"ColumbiaRiverBasin_PIBO","CF-LS-15578_2020-07-25"
"42","CF-LS-15578","CF-LS-15578","Big Lake Creek","BLM",44.15637698,-114.3859026,23479535,"ID17060201SL104_03","3","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Salmon",17060201,"Upper Salmon",NA,NA,"CF-LS-15578_2022-09-01"
"43","CF-LS-16458","CF-LS-16458","Mill Creek","BLM",44.55756122,-114.2770235,23478367,"ID17060201SL013_03","3","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Salmon",17060201,"Upper Salmon",NA,NA,"CF-LS-16458_2022-08-30"
"44","CF-LS-20318","CF-LS-20318","Big Creek","BLM",44.44491214,-113.6128295,23499001,"ID17060202SL031_03","3","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Salmon",17060202,"Pahsimeroi",NA,NA,"CF-LS-20318_2022-08-02"
"45","CF-LS-20318","CF-LS-20318","BIG CREEK","BLM",44.44493,-113.612869,23499001,"ID17060202SL031_03","3","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Salmon",17060202,"Pahsimeroi",NA,"ColumbiaRiverBasin_PIBO","CF-LS-20318_2019-08-10"
"46","CF-LS-32862","CF-LS-32862","Patterson Creek","BLM",44.53520473,-113.6837126,23499081,"ID17060202SL035_03","3","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Salmon",17060202,"Pahsimeroi",NA,NA,"CF-LS-32862_2022-08-03"
"47","CF-LS-32862","CF-LS-32862","PATTERSON CREEK","BLM",44.535225,-113.683616,23499081,"ID17060202SL035_03","3","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Salmon",17060202,"Pahsimeroi",NA,"ColumbiaRiverBasin_PIBO","CF-LS-32862_2020-08-06"
"48","CF-LS-33866","CF-LS-33866","Morgan Creek","BLM",44.66142563,-113.9277593,23499149,"ID17060202SL039_03","3","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Salmon",17060202,"Pahsimeroi",NA,NA,"CF-LS-33866_2022-08-04"
"49","CF-LS-33866","CF-LS-33866","LITTLE MORGAN CREEK","BLM",44.66135,-113.927793,23499149,"ID17060202SL039_03","3","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Salmon",17060202,"Pahsimeroi",NA,"ColumbiaRiverBasin_PIBO","CF-LS-33866_2019-07-12"
"50","CF-LS-38470","CF-LS-38470","PAHSIMEROI RIVER","BLM",44.296851,-113.65806,23498867,"ID17060202SL017_04","4","2022",NA,"Y","PPBV","17aa","Dry Intermontane Sagebrush Valleys","IRO","NorthernRockies","Salmon",17060202,"Pahsimeroi",NA,"ColumbiaRiverBasin_PIBO","CF-LS-38470_2019-08-09"
"51","CF-LS-38470","CF-LS-38470","Pahsimeroi River","BLM",44.29690835,-113.6580761,23498867,"ID17060202SL017_04","4","2022",NA,"Y","PPBV","17aa","Dry Intermontane Sagebrush Valleys","IRO","NorthernRockies","Salmon",17060202,"Pahsimeroi",NA,NA,"CF-LS-38470_2022-08-05"
"52","CF-LS-39006","CF-LS-39006","Big Creek","BLM",44.48404897,-113.7520348,23498989,"ID17060202SL031_03","3","2022",NA,"N","PPBV","17aa","Dry Intermontane Sagebrush Valleys","IRO","NorthernRockies","Salmon",17060202,"Pahsimeroi",NA,NA,"CF-LS-39006_2022-07-05"
"53","CF-LS-39006","CF-LS-39006","BIG CREEK","BLM",44.48394,-113.752157,23498989,"ID17060202SL031_03","3","2022",NA,"N","PPBV","17aa","Dry Intermontane Sagebrush Valleys","IRO","NorthernRockies","Salmon",17060202,"Pahsimeroi",NA,"ColumbiaRiverBasin_PIBO","CF-LS-39006_2019-06-29"
"54","CF-LS-44934","CF-LS-44934","PAHSIMEROI RIVER","BLM",44.368546,-113.678106,23498861,"ID17060202SL017_04","4","2022",NA,"Y","PPBV","17aa","Dry Intermontane Sagebrush Valleys","IRO","NorthernRockies","Salmon",17060202,"Pahsimeroi",NA,"ColumbiaRiverBasin_PIBO","CF-LS-44934_2020-07-12"
"55","CF-LS-47738","CF-LS-47738","MORGAN CREEK","BLM",44.689999,-114.258815,23478219,"ID17060201SL003_03","3","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Salmon",17060201,"Upper Salmon",NA,"ColumbiaRiverBasin_PIBO","CF-LS-47738_2020-07-24"
"56","CF-LS-47738","CF-LS-47738","Morgan Creek","BLM",44.68982137,-114.2589585,23478219,"ID17060201SL003_03","3","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Salmon",17060201,"Upper Salmon",NA,NA,"CF-LS-47738_2022-07-08"
"57","CF-LS-56154","CF-LS-56154","MAHOGANY CREEK","BLM",44.197363,-113.723809,23498877,"ID17060202SL019_03","3","2022",NA,"N","PPBV","17aa","Dry Intermontane Sagebrush Valleys","IRO","NorthernRockies","Salmon",17060202,"Pahsimeroi",NA,"ColumbiaRiverBasin_PIBO","CF-LS-56154_2019-07-13"
"58","CF-LS-56154","CF-LS-56154","Mahogany Creek","BLM",44.19728258,-113.723865,23498877,"ID17060202SL019_03","3","2022",NA,"N","PPBV","17aa","Dry Intermontane Sagebrush Valleys","IRO","NorthernRockies","Salmon",17060202,"Pahsimeroi",NA,NA,"CF-LS-56154_2022-08-06"
"59","CF-LS-56954","CF-LS-56954","MORGAN CREEK","BLM",44.661863,-114.227083,23478211,"ID17060201SL002_03","3","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Salmon",17060201,"Upper Salmon",NA,NA,"CF-LS-56954_2020-08-09"
"60","CF-LS-56954","CF-LS-56954","MORGAN CREEK","BLM",44.661863,-114.227083,23478211,"ID17060201SL002_03","3","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Salmon",17060201,"Upper Salmon",NA,"ColumbiaRiverBasin_PIBO","CF-LS-56954_2020-07-26"
"61","CF-LS-66698","CF-LS-66698","Bayhorse Creek","BLM",44.40018038,-114.3272641,23478491,"ID17060201SL017_03","3","2022",NA,"N","Mountains","16d","Dry Partly Wooded Mountains","IRO","NorthernRockies","Salmon",17060201,"Upper Salmon",NA,NA,"CF-LS-66698_2022-08-31"
"62","CF-LS-70022","CF-LS-70022","Pahsimeroi River","BLM",44.22991639,-113.6881571,23498873,"ID17060202SL018_04","4","2022",NA,"Y","PPBV","17aa","Dry Intermontane Sagebrush Valleys","IRO","NorthernRockies","Salmon",17060202,"Pahsimeroi",NA,NA,"CF-LS-70022_2022-09-13"
"63","CF-RV-13098","CF-RV-13098","EAST FORK SALMON RIVER","BLM",44.17661,-114.286828,23479517,"ID17060201SL102_05","5","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Salmon",17060201,"Upper Salmon",NA,"ColumbiaRiverBasin_PIBO","CF-RV-13098_2020-09-18"
"64","CF-SS-38954","CF-SS-38954","LAKE CREEK","BLM",44.105746,-114.206686,23479913,"ID17060201SL123_02","2","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Salmon",17060201,"Upper Salmon","sediment reference","ColumbiaRiverBasin_PIBO","CF-SS-38954_2019-06-18"
"65","CF-SS-38954","CF-SS-38954","Lake Creek","BLM",44.10576904,-114.2066998,23479913,"ID17060201SL123_02","2","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Salmon",17060201,"Upper Salmon","sediment reference",NA,"CF-SS-38954_2022-07-20"
"66","CF-SS-47546","CF-SS-47546","PAHSIMEROI RIVER","BLM",44.481972,-113.816166,23500179,"ID17060202SL010_04","2","2022",NA,"Y","PPBV","17aa","Dry Intermontane Sagebrush Valleys","IRO","NorthernRockies","Salmon",17060202,"Pahsimeroi",NA,NA,"CF-SS-47546_2020-08-08"
"67","CF-SS-47546","CF-SS-47546","PAHSIMEROI RIVER","BLM",44.481972,-113.816166,23500179,"ID17060202SL010_04","2","2022",NA,"Y","PPBV","17aa","Dry Intermontane Sagebrush Valleys","IRO","NorthernRockies","Salmon",17060202,"Pahsimeroi",NA,"ColumbiaRiverBasin_PIBO","CF-SS-47546_2020-07-27"
"68","CF-SS-54918","CF-SS-54918","Burnt Creek","BLM",44.19861398,-113.6502958,23498933,"ID17060202SL024_02","2","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Salmon",17060202,"Pahsimeroi","sediment reference",NA,"CF-SS-54918_2022-07-06"
"69","CF-SS-54918","CF-SS-54918","BURNT CREEK","BLM",44.198658,-113.650387,23498933,"ID17060202SL024_02","2","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Salmon",17060202,"Pahsimeroi","sediment reference",NA,"CF-SS-54918_2019-09-07"
"70","CF-SS-54918","CF-SS-54918","BURNT CREEK","BLM",44.198563,-113.650348,23498933,"ID17060202SL024_02","2","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Salmon",17060202,"Pahsimeroi","sediment reference","ColumbiaRiverBasin_PIBO","CF-SS-54918_2019-06-15"
"71","CF-SS-71322","CF-SS-71322","KINNIKINIC CREEK","BLM",44.265951,-114.403157,23478551,"ID17060201SL020_02","2","2022",NA,"N","Mountains","16d","Dry Partly Wooded Mountains","IRO","NorthernRockies","Salmon",17060201,"Upper Salmon",NA,"ColumbiaRiverBasin_PIBO","CF-SS-71322_2020-07-23"
"72","CH-TR-1195","CH-TR-1195","PAHSIMEROI RIVER","BLM",44.501065,-113.82516,23498785,"ID17060202SL008_04","5","2022",NA,"Y","PPBV","17aa","Dry Intermontane Sagebrush Valleys","IRO","NorthernRockies","Salmon",17060202,"Pahsimeroi",NA,"ColumbiaRiverBasin_PIBO","CH-TR-1195_2019-08-11"
"73","CH-TR-1218","CH-TR-1218","PAHSIMEROI RIVER","BLM",44.523199,-113.844283,23499735,"ID17060202SL008_04","5","2022",NA,"Y","PPBV","17aa","Dry Intermontane Sagebrush Valleys","IRO","NorthernRockies","Salmon",17060202,"Pahsimeroi",NA,"ColumbiaRiverBasin_PIBO","CH-TR-1218_2019-08-13"
"74","CH-TR-1300","CH-TR-1300","EAST FORK SALMON RIVER","BLM",44.077292,-114.456733,23479639,"ID17060201SL103_04","4","2022",NA,"N","Mountains","16d","Dry Partly Wooded Mountains","IRO","NorthernRockies","Salmon",17060201,"Upper Salmon",NA,"ColumbiaRiverBasin_PIBO","CH-TR-1300_2019-07-28"
"75","CH-TR-1300","CH-TR-1300","EAST FORK SALMON RIVER","BLM",44.077453,-114.456846,23479639,"ID17060201SL103_04","4","2022",NA,"N","Mountains","16d","Dry Partly Wooded Mountains","IRO","NorthernRockies","Salmon",17060201,"Upper Salmon",NA,NA,"CH-TR-1300_2019-09-09"
"76","CH-TR-1302","CH-TR-1302","BIG LAKE CREEK","BLM",44.151205,-114.381587,23479535,"ID17060201SL104_03","3","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Salmon",17060201,"Upper Salmon","sediment reference","ColumbiaRiverBasin_PIBO","CH-TR-1302_2019-07-16"
"77","CH-TR-1317","CH-TR-1317","PAHSIMEROI RIVER","BLM",44.530559,-113.854525,23499735,"ID17060202SL007_04","5","2022",NA,"Y","PPBV","17aa","Dry Intermontane Sagebrush Valleys","IRO","NorthernRockies","Salmon",17060202,"Pahsimeroi",NA,"ColumbiaRiverBasin_PIBO","CH-TR-1317_2019-08-12"
"78","CN-LS-43818","CN-LS-43818","ROAD CREEK","BLM",44.170216,-114.190136,23479943,"ID17060201SL125_03","3","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Salmon",17060201,"Upper Salmon",NA,"ColumbiaRiverBasin_PIBO","CN-LS-43818_2019-07-15"
"79","CN-LS-43818","CN-LS-43818","Road Creek","BLM",44.1702547,-114.190106,23479943,"ID17060201SL125_03","3","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Salmon",17060201,"Upper Salmon",NA,NA,"CN-LS-43818_2022-08-18"
"80","CN-RV-13082","CN-RV-13082","BIG LOST RIVER","BLM",43.976272,-114.062483,23238610,"ID17040218SK025_05","5","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Upper Snake",17040218,"Big Lost","sediment reference","ColumbiaRiverBasin_PIBO","CN-RV-13082_2020-09-17"
"81","CN-RV-13082","CN-RV-13082","BIG LOST RIVER","BLM",43.976272,-114.062483,23238610,"ID17040218SK025_05","5","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Upper Snake",17040218,"Big Lost","sediment reference",NA,"CN-RV-13082_2020-09-23"
"82","CN-RV-18458","CN-RV-18458","BIG LOST RIVER","BLM",43.958804,-114.094113,23238614,"ID17040218SK025_05","5","2022",NA,"N","Foothills","17ab","Dry Gneissic-Schistose-Volcanic Hills","IRO","NorthernRockies","Upper Snake",17040218,"Big Lost",NA,"ColumbiaRiverBasin_PIBO","CN-RV-18458_2020-09-17"
"83","CN-RV-60250","CN-RV-60250","Big Lost River","BLM",43.99541732,-114.0232927,23238594,"ID17040218SK024_05","5","2022",NA,"Y","PPBV","17aa","Dry Intermontane Sagebrush Valleys","IRO","NorthernRockies","Upper Snake",17040218,"Big Lost",NA,NA,"CN-RV-60250_2022-09-03"
"84","CN-RV-60250","CN-RV-60250","BIG LOST RIVER","BLM",43.99542,-114.02319,23238594,"ID17040218SK024_05","5","2022",NA,"Y","PPBV","17aa","Dry Intermontane Sagebrush Valleys","IRO","NorthernRockies","Upper Snake",17040218,"Big Lost",NA,"ColumbiaRiverBasin_PIBO","CN-RV-60250_2017-09-10"
